w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lmr1_uH
3.2,2.2,3.4,12.8,3.2,40,0,0.51,14,27,0.14,0.07,2,14,0.14,0.01,0.1,0.32,0.4,0.2,1.3,1.6,6,1,2.6,4.7,3.5,4,0.18,1.1,1.54113936275873
5.6,7,11.8,3.2,14,43.6,0,0.51,14,32,0.035,0.02,2,35,0.07,0.05,0.1,0.22,1.7,2.7,4.8,4.6,10,25,1.9,1.1,0.8,0.6,1.54,2.2,1.57269191745155
6.8,1,1,6.8,15.2,30.4,0,0.51,14,30,0.07,0.07,2,29,0.035,0.01,0.1,0.13,1.3,3.6,4.7,4.5,7,19,2.1,2.7,3.5,4.4,0.35,2.4,1.59646781082387
4.4,1,13,12.8,12.8,17.2,0,0.51,14,29,0.14,0.08,2,24,0.105,0.08,0.1,0.46,1.2,2.9,4.5,3.8,6,18,4,1.3,2.8,2.3,0.48,1,1.67583287736845
8,1,5.8,4.4,5.6,18.4,0,0.5,14,16,0.14,0.08,2,29,0.105,0.06,0.1,0.19,0.5,2,2.6,2.7,22,14,1.1,0.9,2.6,3.1,0.28,2.5,1.68603212308005
4.4,1,3.4,15.2,11.6,26.8,0,0.51,14,14,0.07,0.07,2,22,0.14,0.1,0.1,0.48,1.4,0.5,2.2,1.7,1,16,3.9,3.8,3,4.1,0.4,1.5,1.69384875769817
5.6,8.2,13,3.2,9.2,31.6,0,0.5,14,24,0.105,0.07,2,35,0.14,0.08,0.1,0.32,0.8,2.5,4.2,4.4,30,8,2,1.5,1.9,0.7,0.56,3.7,1.71413553834125
5.6,1,8.2,10.4,8,29.2,0,0.5,14,35,0.175,0.05,2,14,0.175,0.02,0.1,0.19,0.6,3.3,2.8,3.5,26,18,3.8,2,0.7,0.4,0.41,2.3,1.71762701863428
5.6,1,13,10.4,8,40,0,0.5,14,34,0.07,0.07,2,27,0.105,0.08,0.1,0.21,1,3.1,2.4,3.7,2,23,4.9,0.7,2.5,4.4,0.54,1.1,1.74109497899045
5.6,1,11.8,10.4,8,20.8,0,0.5,14,11,0.175,0.1,2,32,0.14,0.1,0.1,0.43,0.4,1.5,4.4,4.3,27,9,2.6,2.6,3.7,3.4,0.13,1,1.75110872540788
6.8,1,1,11.6,6.8,30.4,0,0.51,14,30,0.07,0.05,2,23,0.14,0.1,0.1,0.3,0.9,3.7,4,1.9,22,26,1,2,2.3,2.9,0.27,1.7,1.7620084304241
5.6,3.4,8.2,4.4,14,32.8,0,0.5,14,28,0.07,0.01,2,27,0.14,0.02,0.1,0.17,1.3,3.7,4.9,4.7,21,24,3.7,1.7,4.6,1.9,0.69,4.3,1.76241679702761
5.6,9.4,13,3.2,10.4,24.4,0,0.51,14,33,0.07,0.02,2,25,0.14,0.08,0.1,0.3,1.2,2,4.7,4.6,14,26,2.4,2.7,4,1.6,0.2,3.6,1.78172428206391
8,1,3.4,4.4,11.6,5.2,0,0.51,14,21,0.035,0.01,2,33,0.14,0.08,0.1,0.47,1.4,1.5,3.2,4.9,26,14,1.1,2.6,3.5,3.1,0.84,2.8,1.7842364762843
6.8,4.6,3.4,3.2,4.4,34,0,0.51,14,34,0.14,0.02,2,6,0.14,0.08,0.1,0.26,0.2,1.3,2,2.9,30,11,0.9,3.5,1.5,3.7,0.12,1.4,1.79005833699344
4.4,1,5.8,18.8,10.4,41.2,0,0.51,14,27,0.14,0.03,2,10,0.07,0.02,0.1,0.42,0.7,1.6,2.6,2.3,13,17,0.6,4.8,1.4,4.5,0.49,1.7,1.80158546435449
6.8,4.6,8.2,3.2,14,32.8,0,0.5,14,27,0.07,0.07,2,23,0.07,0.04,0.1,0.41,1.5,2.4,3.3,3.9,14,15,0.8,0.1,0.7,2.7,0.31,2.9,1.81892040643424
4.4,2.2,7,9.2,10.4,26.8,0,0.5,14,33,0.14,0.07,2,6,0.105,0.01,0.1,0.12,0.8,4.5,4.3,3.9,5,0,3.5,1.6,2.6,3.6,0.18,1.4,1.8205875567347
