w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_left_T
45.2,3.4,2.2,21.2,4.4,28.0,0.0,0.51,14.0,34.0,0.14,0.1,2.0,13.0,0.105,0.02,0.1,0.36,0.3,1.9,2.0,4.4,0.0,30.0,3.2,3.7,1.1,0.5,0.21,1.9,0.0540778447256461
41.6,2.2,10.6,22.4,5.6,24.4,0.0,0.5,14.0,21.0,0.035,0.01,2.0,23.0,0.07,0.01,0.1,0.48,0.7,1.3,2.8,5.0,11.0,3.0,0.4,3.8,3.9,1.7,0.38,1.4,0.0882642399548024
41.6,2.2,4.6,8.0,17.6,10.0,0.0,0.5,14.0,31.0,0.175,0.05,2.0,31.0,0.07,0.01,0.1,0.13,2.0,1.9,4.4,3.4,9.0,5.0,2.1,3.8,0.8,2.5,0.51,3.3,0.0801290722331196
21.2,3.4,11.8,22.4,23.6,8.8,0.0,0.51,14.0,32.0,0.14,0.01,2.0,31.0,0.175,0.04,0.1,0.2,3.1,3.5,5.0,4.0,18.0,28.0,0.7,0.3,4.2,1.5,0.96,3.1,0.111979481759263
27.2,7.0,10.6,14.0,24.8,42.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,14.0,0.14,0.03,0.1,0.22,1.7,3.3,4.8,3.9,12.0,28.0,3.4,3.2,2.1,1.1,0.98,3.2,0.0367786151045379
8.0,11.8,10.6,15.2,10.4,11.2,0.0,0.51,14.0,26.0,0.14,0.05,2.0,14.0,0.105,0.08,0.1,0.12,1.1,1.7,3.1,2.8,3.0,13.0,0.3,0.3,3.7,4.1,0.83,2.3,0.0794117909422462
35.6,5.8,4.6,20.0,5.6,40.0,0.0,0.5,14.0,26.0,0.07,0.02,2.0,9.0,0.105,0.07,0.1,0.22,0.6,2.0,3.6,4.7,24.0,3.0,0.3,0.7,4.1,0.1,0.52,1.5,0.041880238446346
38.0,9.4,11.8,17.6,12.8,44.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,10.0,0.105,0.05,0.1,0.19,1.0,0.8,4.6,4.7,27.0,23.0,1.0,1.2,3.6,0.8,0.43,2.5,0.0234503304002788
40.4,2.2,10.6,24.8,18.8,29.2,0.0,0.5,14.0,22.0,0.14,0.08,2.0,28.0,0.07,0.01,0.1,0.36,1.4,2.8,3.3,4.2,7.0,20.0,1.9,1.2,4.2,2.1,0.54,2.6,0.0769012496324747
52.4,2.2,9.4,5.6,16.4,50.8,0.0,0.5,14.0,29.0,0.175,0.1,2.0,5.0,0.14,0.01,0.1,0.45,2.0,3.0,3.7,1.8,0.0,21.0,0.6,1.2,4.2,3.8,1.31,1.3,0.0647267078389761
20.0,9.4,7.0,17.6,17.6,30.4,0.0,0.5,14.0,35.0,0.14,0.02,2.0,21.0,0.07,0.04,0.1,0.17,1.8,1.4,3.6,3.5,19.0,7.0,3.4,3.8,2.8,0.2,1.32,2.2,0.0420178434805188
22.4,11.8,9.4,16.4,20.0,14.8,0.0,0.51,14.0,32.0,0.175,0.08,2.0,31.0,0.14,0.07,0.1,0.42,1.2,4.1,4.0,4.0,3.0,3.0,3.9,2.9,3.0,1.6,0.39,2.9,0.0274225423481955
20.0,10.6,4.6,12.8,20.0,34.0,0.0,0.51,14.0,34.0,0.07,0.04,2.0,16.0,0.07,0.03,0.1,0.26,2.4,3.0,4.9,3.9,20.0,16.0,3.4,1.0,2.9,3.9,0.88,1.4,0.0384350144708116
9.2,8.2,2.2,11.6,23.6,19.6,0.0,0.51,14.0,13.0,0.14,0.03,2.0,31.0,0.14,0.08,0.1,0.49,0.9,1.6,4.1,4.6,11.0,17.0,2.7,3.9,3.8,1.4,0.87,3.2,0.0848677212745898
17.6,4.6,2.2,6.8,10.4,20.8,0.0,0.5,14.0,27.0,0.035,0.03,2.0,31.0,0.175,0.1,0.1,0.28,1.0,3.7,5.0,4.6,17.0,5.0,1.0,3.2,0.7,3.1,0.16,1.0,0.0943414576932669
27.2,2.2,10.6,21.2,21.2,11.2,0.0,0.5,14.0,25.0,0.14,0.06,2.0,9.0,0.175,0.09,0.1,0.24,1.0,2.1,4.0,3.4,19.0,19.0,4.1,3.5,0.6,3.9,0.66,3.3,0.111796745034942
48.8,4.6,2.2,4.4,9.2,10.0,0.0,0.51,14.0,28.0,0.105,0.02,2.0,21.0,0.14,0.03,0.1,0.13,1.2,1.0,2.0,4.1,27.0,12.0,2.4,0.1,0.6,2.4,0.14,1.7,0.0392392059700149
20.0,4.6,4.6,16.4,11.6,6.4,0.0,0.5,14.0,15.0,0.175,0.09,2.0,17.0,0.14,0.03,0.1,0.26,1.3,0.8,5.0,1.9,7.0,30.0,0.2,3.0,2.9,2.9,0.54,1.4,0.0856282743253342
12.8,4.6,8.2,8.0,9.2,4.0,0.0,0.5,14.0,30.0,0.035,0.03,2.0,24.0,0.105,0.04,0.1,0.18,0.5,1.7,4.3,4.6,4.0,9.0,2.5,0.7,3.9,2.4,0.19,2.4,0.133302402580751
10.4,8.2,4.6,21.2,22.4,40.0,0.0,0.51,14.0,23.0,0.105,0.07,2.0,28.0,0.105,0.09,0.1,0.43,1.4,1.7,4.9,5.0,8.0,6.0,2.3,1.0,2.2,2.5,0.75,4.8,0.0769247020685422
30.8,5.8,4.6,14.0,18.8,52.0,0.0,0.5,14.0,21.0,0.175,0.06,2.0,17.0,0.105,0.01,0.1,0.15,1.4,2.1,4.3,3.4,19.0,25.0,1.2,2.1,1.3,1.9,0.5,1.5,0.0401366044526555
35.6,2.2,5.8,12.8,22.4,42.4,0.0,0.5,14.0,17.0,0.105,0.08,2.0,11.0,0.07,0.03,0.1,0.18,2.0,2.1,3.9,4.1,22.0,7.0,2.7,4.8,3.6,0.9,1.65,3.8,0.0840652551039095
52.4,4.6,2.2,26.0,14.0,19.6,0.0,0.51,14.0,28.0,0.105,0.07,2.0,29.0,0.07,0.01,0.1,0.45,1.8,3.6,4.3,5.0,17.0,17.0,4.5,2.7,3.9,3.2,0.91,2.8,0.0347264079863488
40.4,7.0,11.8,6.8,21.2,7.6,0.0,0.5,14.0,23.0,0.07,0.04,2.0,32.0,0.175,0.03,0.1,0.43,2.6,0.9,5.0,4.6,1.0,11.0,3.7,2.0,3.1,1.9,0.26,3.4,0.0298144197051259
32.0,5.8,10.6,24.8,22.4,38.8,0.0,0.5,14.0,35.0,0.14,0.08,2.0,27.0,0.035,0.01,0.1,0.12,2.1,3.9,3.7,4.7,12.0,4.0,0.2,5.0,2.3,3.3,1.96,3.6,0.043239155037113
34.4,8.2,2.2,10.4,14.0,29.2,0.0,0.5,14.0,30.0,0.14,0.04,2.0,34.0,0.105,0.1,0.1,0.41,1.4,2.4,4.9,4.0,25.0,7.0,1.8,1.1,4.0,0.5,1.35,1.0,0.0287732129763793
24.8,4.6,9.4,14.0,15.2,28.0,0.0,0.51,14.0,34.0,0.175,0.02,2.0,18.0,0.07,0.06,0.1,0.21,1.2,3.5,4.9,3.6,8.0,14.0,4.0,5.0,2.1,3.1,1.18,3.2,0.0630061233568236
26.0,3.4,5.8,2.0,6.8,12.4,0.0,0.51,14.0,29.0,0.175,0.06,2.0,16.0,0.175,0.04,0.1,0.45,0.9,1.6,1.8,2.5,19.0,1.0,2.2,2.4,0.9,4.6,0.27,1.7,0.0910454712723304
42.8,1.0,1.0,4.4,11.6,12.4,0.0,0.5,14.0,28.0,0.105,0.05,2.0,24.0,0.14,0.08,0.1,0.48,0.9,3.6,3.1,2.7,10.0,19.0,2.6,5.0,1.2,2.9,0.2,1.1,0.132232393956203
30.8,8.2,9.4,21.2,10.4,47.2,0.0,0.5,14.0,17.0,0.07,0.03,2.0,26.0,0.07,0.06,0.1,0.44,0.7,0.9,3.2,4.5,23.0,17.0,4.9,4.7,3.4,2.0,0.27,1.4,0.0316164041629487
9.2,7.0,11.8,14.0,14.0,8.8,0.0,0.5,14.0,25.0,0.175,0.06,2.0,10.0,0.14,0.06,0.1,0.22,1.7,1.7,3.4,4.1,28.0,9.0,5.0,4.8,2.0,1.5,0.72,2.0,0.119281756670526
20.0,3.4,8.2,5.6,21.2,5.2,0.0,0.5,14.0,30.0,0.14,0.09,2.0,20.0,0.035,0.02,0.1,0.3,1.8,3.4,4.7,3.6,5.0,4.0,0.1,4.7,4.6,0.7,1.6,3.5,0.110680365488876
23.6,11.8,9.4,20.0,8.0,40.0,0.0,0.51,14.0,32.0,0.105,0.06,2.0,8.0,0.035,0.02,0.1,0.04,1.0,4.0,2.8,2.8,16.0,7.0,4.7,2.0,3.6,3.1,0.25,2.1,0.0319155921939346
42.8,9.4,13.0,5.6,16.4,5.2,0.0,0.51,14.0,29.0,0.175,0.06,2.0,30.0,0.105,0.01,0.1,0.5,1.4,2.3,4.8,3.9,0.0,1.0,0.2,1.7,1.5,2.6,0.85,1.8,0.020803138550241
6.8,13.0,3.4,5.6,16.4,52.0,0.0,0.51,14.0,33.0,0.14,0.06,2.0,34.0,0.175,0.07,0.1,0.25,2.0,1.5,2.9,4.4,18.0,12.0,1.1,4.2,3.1,4.9,0.82,2.6,0.0786896060167027
24.8,13.0,8.2,26.0,22.4,44.8,0.0,0.5,14.0,29.0,0.14,0.1,2.0,21.0,0.07,0.03,0.1,0.15,1.8,3.9,4.8,3.8,13.0,11.0,0.4,4.0,3.2,4.7,0.47,3.5,0.0259100186661195
48.8,7.0,4.6,26.0,20.0,40.0,0.0,0.5,14.0,17.0,0.14,0.03,2.0,30.0,0.14,0.07,0.1,0.48,1.1,1.2,4.7,5.0,23.0,23.0,2.3,2.9,1.7,0.2,0.75,4.5,0.0216918139359284
50.0,2.2,9.4,21.2,5.6,8.8,0.0,0.51,14.0,10.0,0.14,0.06,2.0,11.0,0.105,0.01,0.1,0.19,0.6,0.7,2.6,4.0,12.0,2.0,1.8,1.0,1.2,3.5,0.4,1.8,0.0667245461880822
21.2,3.4,8.2,16.4,5.6,43.6,0.0,0.5,14.0,21.0,0.14,0.01,2.0,31.0,0.07,0.07,0.1,0.35,0.6,1.0,3.2,3.4,28.0,17.0,3.8,1.2,1.2,4.8,0.34,1.4,0.109973580157377
22.4,9.4,13.0,16.4,18.8,11.2,0.0,0.51,14.0,18.0,0.035,0.02,2.0,23.0,0.14,0.08,0.1,0.35,1.1,1.1,4.3,3.4,15.0,2.0,1.4,0.5,1.7,2.6,0.5,1.7,0.0392958424959168
41.6,11.8,11.8,5.6,11.6,4.0,0.0,0.51,14.0,25.0,0.175,0.04,2.0,14.0,0.175,0.05,0.1,0.3,1.3,1.0,2.8,2.2,12.0,7.0,2.4,3.8,1.5,0.8,0.64,1.0,0.0176980535181728
11.6,13.0,8.2,10.4,15.2,35.2,0.0,0.5,14.0,24.0,0.175,0.07,2.0,23.0,0.105,0.1,0.1,0.46,1.4,1.8,2.5,2.9,10.0,18.0,2.0,3.8,0.7,2.3,0.26,2.1,0.0488906140958284
44.0,5.8,5.8,6.8,10.4,38.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,22.0,0.14,0.04,0.1,0.49,1.0,2.3,2.7,3.6,26.0,29.0,1.3,4.1,1.8,4.6,0.87,2.2,0.031886032210864
29.6,2.2,8.2,16.4,12.8,43.6,0.0,0.51,14.0,12.0,0.07,0.05,2.0,23.0,0.14,0.08,0.1,0.35,1.4,0.2,4.5,4.9,22.0,3.0,0.3,2.5,1.6,4.0,0.18,1.7,0.0998191056846996
35.6,5.8,10.6,20.0,6.8,44.8,0.0,0.5,14.0,15.0,0.175,0.02,2.0,32.0,0.14,0.05,0.1,0.21,0.7,1.2,3.8,4.6,20.0,26.0,3.8,1.1,2.8,4.5,0.21,1.5,0.0376183729389473
26.0,11.8,8.2,24.8,16.4,31.6,0.0,0.5,14.0,32.0,0.14,0.06,2.0,8.0,0.14,0.09,0.1,0.33,2.1,4.1,4.5,3.8,22.0,4.0,1.9,2.4,1.3,1.7,0.53,2.2,0.0269672312557248
22.4,11.8,5.8,24.8,20.0,41.2,0.0,0.51,14.0,31.0,0.14,0.01,2.0,27.0,0.07,0.04,0.1,0.23,2.0,1.2,4.0,3.5,11.0,14.0,1.1,2.6,2.5,3.4,1.06,2.2,0.0318050373971398
28.4,4.6,7.0,26.0,17.6,10.0,0.0,0.51,14.0,20.0,0.175,0.09,2.0,34.0,0.07,0.02,0.1,0.18,1.5,2.0,4.7,3.2,24.0,24.0,4.2,2.5,2.7,5.0,1.17,2.5,0.0582726295549219
36.8,4.6,10.6,11.6,21.2,18.4,0.0,0.5,14.0,17.0,0.175,0.09,2.0,18.0,0.14,0.01,0.1,0.2,1.2,1.8,4.8,3.9,9.0,27.0,2.8,0.5,1.4,0.9,0.59,3.4,0.0414467720438093
9.2,5.8,8.2,9.2,8.0,10.0,0.0,0.51,14.0,28.0,0.14,0.07,2.0,7.0,0.105,0.06,0.1,0.42,0.9,2.6,2.2,4.6,19.0,23.0,1.0,0.3,0.9,0.5,0.22,1.4,0.138006972385751
45.2,13.0,2.2,11.6,16.4,32.8,0.0,0.5,14.0,29.0,0.07,0.06,2.0,25.0,0.07,0.03,0.1,0.32,1.7,1.8,2.8,3.9,29.0,10.0,3.9,3.3,1.6,1.8,1.29,2.4,0.0143115717618281
51.2,4.6,3.4,9.2,10.4,43.6,0.0,0.51,14.0,22.0,0.14,0.07,2.0,34.0,0.105,0.03,0.1,0.2,0.8,2.7,3.9,4.3,24.0,10.0,4.5,0.2,2.6,2.9,0.47,2.7,0.0326584614030074
10.4,9.4,11.8,15.2,16.4,40.0,0.0,0.51,14.0,24.0,0.175,0.01,2.0,30.0,0.14,0.04,0.1,0.37,1.0,0.6,4.3,3.6,11.0,6.0,1.0,1.2,1.0,2.2,0.58,2.9,0.0666432104643061
46.4,13.0,5.8,17.6,15.2,8.8,0.0,0.5,14.0,31.0,0.175,0.04,2.0,30.0,0.105,0.08,0.1,0.31,1.6,0.3,3.6,4.1,27.0,4.0,0.3,0.8,4.5,4.0,0.27,1.4,0.0136773477204601
9.2,5.8,3.4,18.8,8.0,46.0,0.0,0.5,14.0,25.0,0.105,0.09,2.0,5.0,0.105,0.09,0.1,0.16,1.0,1.5,2.8,2.3,19.0,29.0,1.5,3.7,1.5,2.6,0.13,2.2,0.149097599540063
38.0,5.8,11.8,20.0,4.4,53.2,0.0,0.51,14.0,34.0,0.105,0.01,2.0,13.0,0.035,0.03,0.1,0.09,0.4,0.4,1.7,3.8,24.0,17.0,1.4,2.5,1.6,0.9,0.3,1.2,0.0380116382650194
28.4,3.4,13.0,20.0,4.4,37.6,0.0,0.5,14.0,22.0,0.105,0.03,2.0,27.0,0.07,0.07,0.1,0.37,0.5,2.9,2.5,4.6,11.0,6.0,4.1,4.7,4.1,1.1,0.17,1.7,0.0834594728668815
28.4,10.6,8.2,11.6,16.4,20.8,0.0,0.5,14.0,19.0,0.07,0.03,2.0,7.0,0.175,0.06,0.1,0.36,1.8,1.7,3.2,2.7,22.0,11.0,2.8,1.9,1.2,5.0,0.89,2.6,0.027823562261622
46.4,3.4,9.4,15.2,5.6,8.8,0.0,0.5,14.0,14.0,0.105,0.1,2.0,20.0,0.035,0.01,0.1,0.18,0.6,1.4,3.1,1.4,21.0,26.0,4.7,3.5,1.0,3.2,0.22,1.3,0.0507013371081757
10.4,9.4,8.2,17.6,15.2,43.6,0.0,0.5,14.0,34.0,0.175,0.06,2.0,34.0,0.105,0.06,0.1,0.44,1.5,1.4,4.6,4.9,25.0,1.0,3.7,4.8,0.6,3.3,1.18,1.7,0.0806036902131921
48.8,5.8,4.6,3.2,3.2,18.4,0.0,0.5,14.0,33.0,0.105,0.09,2.0,33.0,0.105,0.04,0.1,0.3,0.3,2.6,1.1,1.4,6.0,9.0,4.8,4.9,1.9,0.5,0.24,1.0,0.0298533027046884
40.4,9.4,9.4,8.0,6.8,19.6,0.0,0.5,14.0,25.0,0.105,0.1,2.0,28.0,0.07,0.05,0.1,0.42,0.4,2.6,4.1,4.2,11.0,26.0,4.9,0.9,1.6,4.2,0.11,1.3,0.020972357677657
18.8,8.2,5.8,17.6,20.0,16.0,0.0,0.5,14.0,14.0,0.14,0.1,2.0,9.0,0.175,0.1,0.1,0.37,1.7,1.6,4.7,4.3,6.0,6.0,2.3,4.5,0.4,1.2,1.34,2.8,0.0486822267174987
24.8,13.0,4.6,24.8,8.0,48.4,0.0,0.51,14.0,29.0,0.14,0.09,2.0,30.0,0.14,0.01,0.1,0.48,0.9,2.2,3.4,3.6,11.0,24.0,4.4,0.3,1.9,2.4,0.63,1.0,0.0255499507470756
39.2,13.0,5.8,3.2,5.6,52.0,0.0,0.5,14.0,35.0,0.175,0.1,2.0,33.0,0.175,0.07,0.1,0.37,0.6,4.5,2.9,2.8,15.0,1.0,3.4,3.1,4.8,1.5,0.39,1.5,0.0156976353764262
34.4,8.2,10.6,20.0,18.8,11.2,0.0,0.5,14.0,28.0,0.035,0.03,2.0,35.0,0.14,0.09,0.1,0.23,2.1,1.6,4.9,4.5,9.0,1.0,3.5,2.3,2.5,1.7,0.25,1.7,0.0298457718152437
24.8,10.6,13.0,10.4,15.2,4.0,0.0,0.5,14.0,28.0,0.07,0.04,2.0,31.0,0.105,0.01,0.1,0.29,1.9,2.1,3.9,3.4,22.0,23.0,3.1,0.1,0.3,2.5,0.71,1.4,0.0318722037790775
8.0,7.0,13.0,12.8,12.8,47.2,0.0,0.51,14.0,33.0,0.175,0.05,2.0,13.0,0.14,0.02,0.1,0.46,1.1,0.9,4.5,3.9,16.0,30.0,2.7,4.3,4.3,2.4,0.43,2.5,0.112613708528247
17.6,5.8,2.2,23.6,8.0,13.6,0.0,0.51,14.0,30.0,0.14,0.02,2.0,13.0,0.175,0.09,0.1,0.24,0.9,3.5,1.4,3.1,29.0,22.0,4.6,0.2,2.9,1.3,0.22,1.1,0.0800848504879511
52.4,3.4,11.8,12.8,15.2,16.0,0.0,0.51,14.0,20.0,0.14,0.04,2.0,20.0,0.105,0.1,0.1,0.29,1.4,1.5,4.4,3.6,19.0,26.0,3.1,2.8,2.2,5.0,0.98,1.1,0.0442427310537035
11.6,7.0,5.8,14.0,21.2,23.2,0.0,0.5,14.0,35.0,0.175,0.07,2.0,23.0,0.07,0.01,0.1,0.3,1.3,2.8,5.0,4.8,2.0,10.0,4.1,3.4,4.9,4.4,0.9,2.0,0.0786153242960796
22.4,2.2,10.6,5.6,17.6,6.4,0.0,0.5,14.0,8.0,0.035,0.03,2.0,23.0,0.105,0.03,0.1,0.42,1.9,1.0,4.5,3.7,1.0,15.0,1.1,3.4,0.2,3.4,0.34,3.6,0.146032417487079
42.8,3.4,9.4,21.2,11.6,10.0,0.0,0.51,14.0,19.0,0.105,0.06,2.0,33.0,0.035,0.02,0.1,0.1,0.8,1.5,4.4,4.5,6.0,3.0,0.8,4.0,4.9,2.9,0.49,2.5,0.0542848849614081
26.0,7.0,5.8,5.6,12.8,41.2,0.0,0.5,14.0,9.0,0.105,0.1,2.0,29.0,0.07,0.02,0.1,0.37,1.3,0.4,4.8,3.6,17.0,18.0,2.8,0.6,4.0,1.5,0.23,3.1,0.0435164388922838
47.6,8.2,3.4,8.0,11.6,30.4,0.0,0.51,14.0,21.0,0.07,0.03,2.0,30.0,0.14,0.1,0.1,0.46,0.8,0.7,4.4,4.1,14.0,9.0,2.1,0.4,0.6,3.7,0.27,2.0,0.0196547379803916
32.0,1.0,11.8,8.0,8.0,44.8,0.0,0.5,14.0,27.0,0.14,0.02,2.0,13.0,0.175,0.04,0.1,0.25,0.6,1.5,4.0,4.9,14.0,1.0,3.7,2.0,2.9,1.2,0.44,1.3,0.162929038500958
14.0,4.6,8.2,8.0,26.0,46.0,0.0,0.51,14.0,20.0,0.105,0.05,2.0,24.0,0.105,0.08,0.1,0.35,3.5,1.4,4.4,4.1,11.0,17.0,1.4,2.9,2.3,2.8,0.15,3.9,0.118466271414251
8.0,8.2,4.6,26.0,4.4,22.0,0.0,0.5,14.0,27.0,0.14,0.05,2.0,12.0,0.14,0.04,0.1,0.38,0.3,2.0,2.3,2.6,19.0,12.0,1.2,4.7,3.5,4.2,0.27,1.1,0.120747320744395
11.6,13.0,10.6,8.0,22.4,43.6,0.0,0.5,14.0,23.0,0.175,0.06,2.0,31.0,0.105,0.07,0.1,0.39,2.5,1.9,4.2,3.8,30.0,20.0,4.5,3.6,0.8,2.0,0.11,3.2,0.0481193149441531
17.6,4.6,9.4,6.8,4.4,29.2,0.0,0.5,14.0,29.0,0.175,0.09,2.0,23.0,0.14,0.1,0.1,0.23,0.3,3.6,1.5,1.9,7.0,9.0,3.8,2.7,2.2,1.4,0.19,1.1,0.0878652219058889
27.2,4.6,9.4,17.6,5.6,29.2,0.0,0.5,14.0,28.0,0.14,0.08,2.0,21.0,0.14,0.06,0.1,0.36,0.4,0.2,2.7,3.9,26.0,8.0,2.4,2.4,2.0,4.5,0.13,1.4,0.0625720241190948
26.0,7.0,10.6,26.0,15.2,6.4,0.0,0.51,14.0,32.0,0.175,0.1,2.0,15.0,0.035,0.02,0.1,0.07,1.2,0.7,4.5,4.8,22.0,19.0,1.7,2.4,1.9,2.0,0.69,4.2,0.0429722369825649
