w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_left_T
46.4,1.0,4.6,16.4,6.8,50.8,0.0,0.51,14.0,11.0,0.105,0.1,2.0,34.0,0.175,0.1,0.1,0.38,0.8,0.5,2.5,3.3,0.0,27.0,1.7,2.3,2.9,2.6,0.1,1.7,0.122574255368237
46.4,2.2,1.0,12.8,11.6,12.4,0.0,0.5,14.0,15.0,0.175,0.04,2.0,20.0,0.105,0.05,0.1,0.21,1.2,0.3,4.4,4.5,1.0,30.0,1.5,3.7,2.1,2.7,0.28,3.4,0.0699312358687522
17.6,9.4,7.0,11.6,20.0,16.0,0.0,0.5,14.0,32.0,0.105,0.1,2.0,8.0,0.14,0.07,0.1,0.2,2.0,1.6,4.9,3.9,15.0,27.0,1.6,4.5,4.6,2.9,1.26,2.2,0.0484925074751327
35.6,11.8,5.8,18.8,16.4,50.8,0.0,0.51,14.0,19.0,0.175,0.08,2.0,31.0,0.175,0.09,0.1,0.3,0.9,1.2,4.7,3.9,24.0,26.0,3.2,2.3,0.2,4.5,0.3,1.9,0.0184478645383746
51.2,9.4,5.8,14.0,8.0,4.0,0.0,0.51,14.0,20.0,0.07,0.04,2.0,27.0,0.07,0.01,0.1,0.4,0.7,1.3,4.2,3.6,10.0,8.0,4.1,0.5,2.7,2.1,0.58,3.2,0.018685832860015
44.0,8.2,8.2,12.8,11.6,14.8,0.0,0.51,14.0,27.0,0.14,0.05,2.0,28.0,0.105,0.02,0.1,0.2,0.6,1.5,3.1,4.7,23.0,5.0,1.5,3.9,4.7,3.5,0.56,2.5,0.0217787185875372
35.6,13.0,2.2,22.4,14.0,22.0,0.0,0.5,14.0,20.0,0.07,0.03,2.0,28.0,0.105,0.09,0.1,0.16,1.9,2.7,4.8,3.8,5.0,15.0,0.5,3.3,1.2,3.2,0.1,1.2,0.019120301981501
24.8,10.6,10.6,12.8,18.8,12.4,0.0,0.51,14.0,25.0,0.105,0.03,2.0,29.0,0.14,0.02,0.1,0.18,1.1,1.2,4.8,3.8,3.0,27.0,4.5,2.8,3.7,3.6,0.52,1.0,0.0278195516548159
10.4,8.2,5.8,8.0,20.0,52.0,0.0,0.5,14.0,29.0,0.105,0.01,2.0,22.0,0.105,0.05,0.1,0.25,2.3,3.4,4.5,4.3,10.0,27.0,3.0,1.3,2.2,2.8,1.11,3.7,0.093455405062045
28.4,4.6,11.8,6.8,26.0,48.4,0.0,0.5,14.0,35.0,0.175,0.04,2.0,13.0,0.07,0.01,0.1,0.04,1.6,3.9,5.0,3.4,30.0,2.0,1.4,0.7,4.2,0.5,1.24,3.1,0.0482770891307037
21.2,13.0,8.2,20.0,22.4,52.0,0.0,0.5,14.0,35.0,0.105,0.02,2.0,15.0,0.07,0.03,0.1,0.3,1.8,3.8,4.8,4.4,23.0,6.0,1.0,3.9,2.2,2.2,1.6,2.9,0.0276408055963541
39.2,10.6,4.6,15.2,15.2,37.6,0.0,0.51,14.0,30.0,0.035,0.02,2.0,24.0,0.07,0.01,0.1,0.12,1.5,1.0,4.5,4.1,6.0,3.0,3.6,2.2,1.3,1.1,0.47,1.8,0.0210054681568009
17.6,13.0,4.6,9.2,9.2,52.0,0.0,0.51,14.0,31.0,0.14,0.08,2.0,17.0,0.14,0.09,0.1,0.18,1.0,1.4,4.3,4.5,4.0,2.0,3.6,3.2,0.6,3.9,0.46,1.6,0.0343762449764104
38.0,7.0,2.2,20.0,5.6,35.2,0.0,0.5,14.0,31.0,0.07,0.01,2.0,16.0,0.14,0.1,0.1,0.42,0.5,2.5,3.4,3.6,4.0,14.0,0.4,2.5,1.9,1.7,0.45,1.2,0.0326767205721032
26.0,2.2,7.0,10.4,5.6,26.8,0.0,0.5,14.0,35.0,0.175,0.01,2.0,34.0,0.175,0.05,0.1,0.16,0.4,4.1,3.6,3.7,16.0,10.0,4.4,2.2,1.5,0.9,0.29,1.3,0.131674598330678
40.4,2.2,8.2,15.2,5.6,52.0,0.0,0.51,14.0,25.0,0.035,0.02,2.0,26.0,0.105,0.06,0.1,0.19,0.5,0.3,2.9,2.3,8.0,15.0,2.4,3.9,4.4,4.8,0.22,2.2,0.0836514893519499
32.0,5.8,5.8,23.6,8.0,41.2,0.0,0.51,14.0,26.0,0.14,0.06,2.0,14.0,0.035,0.02,0.1,0.12,0.8,1.8,2.4,4.9,16.0,27.0,2.9,4.2,4.3,4.6,0.13,1.7,0.0427313744652604
52.4,4.6,8.2,9.2,6.8,30.4,0.0,0.5,14.0,17.0,0.105,0.1,2.0,29.0,0.07,0.03,0.1,0.23,0.6,1.2,3.6,1.9,10.0,15.0,5.0,2.2,3.4,1.3,0.28,1.0,0.0337080950082456
39.2,11.8,5.8,6.8,20.0,6.4,0.0,0.5,14.0,13.0,0.175,0.07,2.0,23.0,0.105,0.02,0.1,0.49,2.2,0.6,3.8,4.5,11.0,15.0,0.7,0.6,2.2,0.8,0.15,2.6,0.0182734871049823
38.0,9.4,5.8,17.6,9.2,40.0,0.0,0.5,14.0,34.0,0.105,0.08,2.0,23.0,0.175,0.01,0.1,0.32,1.0,4.5,4.3,2.3,22.0,5.0,4.8,1.9,1.1,2.6,0.53,1.7,0.0249265746369227
30.8,3.4,10.6,4.4,18.8,41.2,0.0,0.51,14.0,28.0,0.14,0.05,2.0,28.0,0.14,0.08,0.1,0.15,1.2,1.5,4.8,4.2,27.0,14.0,4.3,1.4,3.0,1.5,1.16,1.6,0.0665510680276889
29.6,4.6,5.8,20.0,23.6,50.8,0.0,0.5,14.0,24.0,0.175,0.02,2.0,21.0,0.14,0.05,0.1,0.31,1.7,3.1,4.7,3.8,12.0,26.0,1.3,2.6,4.5,4.2,0.59,3.6,0.0524704943448774
47.6,13.0,5.8,8.0,11.6,4.0,0.0,0.51,14.0,32.0,0.175,0.02,2.0,14.0,0.035,0.02,0.1,0.26,1.3,1.5,4.6,2.5,10.0,21.0,3.6,0.9,2.1,2.0,0.56,2.3,0.0149731698280528
27.2,11.8,8.2,26.0,8.0,4.0,0.0,0.5,14.0,20.0,0.035,0.01,2.0,19.0,0.175,0.09,0.1,0.34,0.9,1.1,3.2,4.9,7.0,19.0,2.0,4.3,1.6,1.1,0.58,2.4,0.0284207958051565
32.0,7.0,7.0,18.8,26.0,26.8,0.0,0.51,14.0,15.0,0.105,0.06,2.0,20.0,0.14,0.07,0.1,0.2,1.9,0.8,4.6,4.2,16.0,6.0,2.5,0.9,3.6,2.2,0.54,3.6,0.0327905870312119
44.0,4.6,5.8,18.8,17.6,36.4,0.0,0.51,14.0,14.0,0.105,0.05,2.0,17.0,0.14,0.02,0.1,0.35,1.9,1.6,4.6,5.0,25.0,1.0,3.7,0.5,3.0,2.9,0.37,4.2,0.032649304702003
32.0,8.2,9.4,20.0,26.0,22.0,0.0,0.5,14.0,14.0,0.14,0.01,2.0,35.0,0.175,0.06,0.1,0.38,1.4,1.3,4.6,4.7,17.0,27.0,3.4,3.8,1.4,0.3,0.54,4.2,0.0229708446701847
44.0,4.6,8.2,18.8,4.4,14.8,0.0,0.51,14.0,10.0,0.07,0.01,2.0,32.0,0.07,0.07,0.1,0.46,0.3,0.7,2.2,1.9,6.0,24.0,3.5,5.0,4.6,1.1,0.14,1.0,0.0409860370746202
17.6,10.6,11.8,17.6,4.4,17.2,0.0,0.51,14.0,28.0,0.14,0.09,2.0,14.0,0.035,0.02,0.1,0.42,0.4,1.6,2.4,1.4,21.0,12.0,2.6,1.9,3.5,0.1,0.27,1.0,0.045886514935324
29.6,9.4,1.0,4.4,3.2,30.4,0.0,0.5,14.0,34.0,0.175,0.03,2.0,27.0,0.07,0.04,0.1,0.05,0.3,3.6,1.5,3.1,7.0,9.0,0.2,3.7,4.3,1.9,0.13,1.1,0.0326905635868332
51.2,2.2,11.8,15.2,18.8,41.2,0.0,0.5,14.0,35.0,0.14,0.04,2.0,21.0,0.07,0.01,0.1,0.39,1.5,4.1,3.8,4.0,19.0,4.0,2.2,1.4,2.5,1.8,1.27,2.2,0.0601430808481533
21.2,2.2,7.0,6.8,18.8,46.0,0.0,0.5,14.0,25.0,0.14,0.05,2.0,16.0,0.175,0.02,0.1,0.35,2.1,2.3,5.0,2.5,13.0,22.0,2.8,4.6,4.6,0.2,0.37,1.8,0.123634901443878
18.8,8.2,4.6,18.8,8.0,10.0,0.0,0.51,14.0,24.0,0.035,0.01,2.0,6.0,0.07,0.03,0.1,0.45,0.8,0.8,4.8,2.8,5.0,15.0,1.3,2.5,1.6,3.9,0.76,2.7,0.0588618721967074
41.6,4.6,3.4,12.8,18.8,42.4,0.0,0.51,14.0,28.0,0.035,0.01,2.0,34.0,0.175,0.01,0.1,0.24,1.9,3.3,4.0,4.3,12.0,7.0,3.6,3.5,4.1,0.8,0.22,1.8,0.0438969977761388
32.0,3.4,10.6,8.0,8.0,38.8,0.0,0.51,14.0,30.0,0.105,0.04,2.0,21.0,0.14,0.09,0.1,0.33,1.0,4.0,3.6,2.7,7.0,21.0,0.2,1.4,1.0,2.2,0.51,1.9,0.0629676189404956
47.6,13.0,9.4,11.6,10.4,29.2,0.0,0.5,14.0,19.0,0.175,0.03,2.0,18.0,0.07,0.02,0.1,0.05,1.1,1.0,3.2,4.0,14.0,2.0,4.9,4.2,4.8,1.7,0.42,2.7,0.0136153843523163
48.8,2.2,10.6,11.6,17.6,47.2,0.0,0.51,14.0,19.0,0.105,0.08,2.0,35.0,0.175,0.06,0.1,0.4,2.3,1.6,3.7,3.0,14.0,1.0,0.2,1.0,2.2,3.2,0.12,2.0,0.0684408911847731
34.4,4.6,10.6,3.2,12.8,42.4,0.0,0.51,14.0,27.0,0.105,0.1,2.0,17.0,0.14,0.06,0.1,0.18,1.1,0.3,3.2,2.4,12.0,5.0,3.4,4.9,1.2,0.9,0.11,1.6,0.0462484368209501
50.0,10.6,9.4,20.0,14.0,43.6,0.0,0.5,14.0,18.0,0.105,0.06,2.0,6.0,0.14,0.01,0.1,0.27,1.6,1.9,3.2,3.0,9.0,26.0,2.1,2.1,4.8,3.8,0.57,1.5,0.0162309988590696
16.4,3.4,13.0,21.2,14.0,18.4,0.0,0.51,14.0,34.0,0.14,0.04,2.0,9.0,0.14,0.02,0.1,0.13,0.8,4.5,3.8,3.2,17.0,18.0,3.1,1.4,4.4,4.6,0.2,2.2,0.132304684707107
30.8,9.4,13.0,24.8,6.8,40.0,0.0,0.5,14.0,29.0,0.07,0.05,2.0,14.0,0.175,0.03,0.1,0.39,0.4,1.0,4.3,2.5,15.0,9.0,1.2,2.4,2.4,2.6,0.38,1.1,0.0289388091121928
50.0,7.0,3.4,18.8,21.2,52.0,0.0,0.51,14.0,28.0,0.175,0.01,2.0,30.0,0.14,0.06,0.1,0.13,0.9,0.5,3.8,4.1,13.0,11.0,4.6,4.3,0.1,4.1,0.46,3.6,0.023135284824636
46.4,8.2,3.4,11.6,4.4,10.0,0.0,0.5,14.0,25.0,0.14,0.1,2.0,6.0,0.105,0.07,0.1,0.45,0.4,3.4,2.3,2.8,24.0,20.0,0.9,0.2,3.1,1.3,0.36,1.3,0.0216444285148017
33.2,11.8,8.2,10.4,23.6,26.8,0.0,0.51,14.0,20.0,0.07,0.02,2.0,12.0,0.175,0.03,0.1,0.25,1.7,1.8,4.7,4.1,18.0,8.0,0.4,0.5,4.3,2.7,1.55,2.7,0.0203801875231201
33.2,13.0,11.8,12.8,5.6,18.4,0.0,0.51,14.0,13.0,0.14,0.09,2.0,18.0,0.175,0.02,0.1,0.4,0.3,1.4,3.2,1.4,21.0,27.0,4.6,3.2,2.0,2.4,0.15,1.0,0.0203781557995882
24.8,10.6,9.4,5.6,12.8,44.8,0.0,0.51,14.0,30.0,0.14,0.01,2.0,17.0,0.105,0.01,0.1,0.39,1.6,3.3,2.7,3.8,2.0,14.0,0.4,1.0,0.9,4.6,1.14,1.8,0.0339838474287251
44.0,7.0,9.4,5.6,16.4,49.6,0.0,0.5,14.0,30.0,0.105,0.06,2.0,8.0,0.07,0.07,0.1,0.44,1.1,3.7,4.6,4.2,16.0,0.0,4.3,2.0,0.6,3.0,0.54,3.3,0.0255391144382405
21.2,11.8,13.0,14.0,17.6,47.2,0.0,0.51,14.0,29.0,0.14,0.1,2.0,32.0,0.175,0.06,0.1,0.29,1.4,2.7,4.2,3.7,19.0,19.0,3.7,0.7,1.4,1.0,0.43,1.8,0.0301334836227113
24.8,7.0,2.2,10.4,23.6,14.8,0.0,0.5,14.0,4.0,0.175,0.09,2.0,31.0,0.105,0.09,0.1,0.3,2.3,0.4,4.0,3.8,15.0,28.0,2.4,1.5,4.1,4.2,0.38,3.3,0.0452476139493479
41.6,11.8,4.6,23.6,16.4,50.8,0.0,0.51,14.0,8.0,0.105,0.03,2.0,30.0,0.175,0.07,0.1,0.4,1.1,0.5,4.0,3.4,9.0,11.0,3.1,0.8,2.6,3.2,0.47,2.3,0.0168950215495372
32.0,4.6,4.6,11.6,17.6,23.2,0.0,0.5,14.0,33.0,0.175,0.02,2.0,23.0,0.07,0.02,0.1,0.22,1.6,1.9,4.6,4.0,11.0,11.0,0.5,1.9,4.8,1.9,0.7,2.4,0.0538421589078887
45.2,7.0,8.2,12.8,12.8,43.6,0.0,0.5,14.0,32.0,0.035,0.03,2.0,29.0,0.105,0.04,0.1,0.27,1.3,2.8,2.9,3.9,29.0,18.0,0.2,4.7,2.3,1.4,1.2,1.7,0.0272693746581445
24.8,9.4,7.0,20.0,10.4,6.4,0.0,0.5,14.0,27.0,0.07,0.02,2.0,6.0,0.14,0.02,0.1,0.29,1.0,2.2,4.1,2.8,4.0,25.0,1.1,0.7,1.7,0.9,0.94,2.5,0.0361524409517171
44.0,8.2,10.6,20.0,26.0,48.4,0.0,0.51,14.0,35.0,0.07,0.07,2.0,34.0,0.07,0.02,0.1,0.12,2.5,3.8,4.9,4.4,0.0,26.0,4.4,3.5,0.7,4.0,1.18,3.3,0.0227396899022397
10.4,4.6,4.6,8.0,20.0,24.4,0.0,0.5,14.0,35.0,0.14,0.04,2.0,15.0,0.175,0.01,0.1,0.37,1.9,2.8,3.5,4.5,15.0,10.0,0.5,1.6,3.5,1.3,0.56,2.7,0.141741143159516
48.8,8.2,4.6,6.8,6.8,48.4,0.0,0.51,14.0,32.0,0.105,0.01,2.0,18.0,0.14,0.04,0.1,0.38,0.5,3.7,2.4,3.9,29.0,22.0,4.3,0.3,0.9,0.7,0.16,1.6,0.0195299279746806
47.6,10.6,11.8,9.2,8.0,12.4,0.0,0.51,14.0,12.0,0.175,0.05,2.0,31.0,0.035,0.02,0.1,0.02,0.9,1.0,2.7,3.4,16.0,5.0,1.3,0.5,1.4,1.9,0.34,1.4,0.0172483267403549
50.0,2.2,11.8,20.0,14.0,5.2,0.0,0.5,14.0,32.0,0.07,0.07,2.0,7.0,0.07,0.03,0.1,0.12,1.7,2.7,4.5,3.1,15.0,20.0,4.2,0.1,3.3,1.0,1.44,2.3,0.0713042409623994
11.6,5.8,11.8,5.6,8.0,52.0,0.0,0.5,14.0,24.0,0.14,0.01,2.0,32.0,0.14,0.08,0.1,0.32,0.8,2.1,4.3,2.3,13.0,2.0,1.3,2.5,4.2,0.9,0.24,1.1,0.110089438453731
12.8,9.4,2.2,9.2,14.0,7.6,0.0,0.51,14.0,28.0,0.14,0.04,2.0,24.0,0.105,0.03,0.1,0.09,1.3,1.4,4.1,2.3,19.0,4.0,0.2,4.4,2.9,2.1,0.39,1.9,0.0617754035975069
26.0,4.6,10.6,9.2,12.8,30.4,0.0,0.5,14.0,33.0,0.175,0.05,2.0,32.0,0.14,0.07,0.1,0.23,0.6,4.0,3.2,2.2,23.0,2.0,1.9,3.1,4.2,0.8,0.19,1.2,0.0549528734435693
28.4,4.6,9.4,14.0,3.2,49.6,0.0,0.51,14.0,21.0,0.175,0.05,2.0,17.0,0.14,0.08,0.1,0.33,0.4,1.0,1.5,2.2,11.0,5.0,1.0,2.4,0.9,2.9,0.23,1.2,0.0618541981180532
33.2,10.6,4.6,11.6,15.2,4.0,0.0,0.5,14.0,33.0,0.14,0.09,2.0,30.0,0.14,0.02,0.1,0.48,2.0,3.1,3.3,4.2,13.0,1.0,3.4,1.0,0.2,0.5,0.2,1.5,0.0253737303432275
44.0,11.8,9.4,11.6,17.6,24.4,0.0,0.5,14.0,21.0,0.175,0.08,2.0,29.0,0.14,0.1,0.1,0.48,0.8,2.4,4.3,2.3,22.0,14.0,1.0,4.1,3.8,4.1,0.25,2.0,0.0152230516167923
17.6,10.6,3.4,24.8,26.0,47.2,0.0,0.51,14.0,17.0,0.105,0.01,2.0,28.0,0.035,0.02,0.1,0.01,2.3,1.2,4.6,4.3,30.0,8.0,4.7,3.4,3.6,4.8,0.88,3.6,0.0411729612579524
50.0,4.6,1.0,21.2,9.2,20.8,0.0,0.51,14.0,35.0,0.175,0.02,2.0,27.0,0.07,0.02,0.1,0.14,1.1,1.8,2.0,3.9,13.0,1.0,3.3,4.1,3.6,0.6,0.8,1.9,0.0385591835800086
52.4,9.4,7.0,16.4,20.0,43.6,0.0,0.5,14.0,18.0,0.175,0.05,2.0,25.0,0.07,0.03,0.1,0.29,2.5,2.1,4.3,4.1,24.0,5.0,3.2,0.3,3.3,2.1,0.47,2.4,0.0154197513691246
18.8,10.6,4.6,11.6,26.0,5.2,0.0,0.5,14.0,26.0,0.105,0.09,2.0,17.0,0.105,0.08,0.1,0.49,1.4,1.5,4.8,4.0,19.0,15.0,3.9,4.7,3.8,1.7,1.36,3.6,0.0398409361083716
40.4,7.0,9.4,12.8,16.4,25.6,0.0,0.5,14.0,31.0,0.105,0.01,2.0,34.0,0.14,0.01,0.1,0.21,1.9,1.6,3.1,4.9,29.0,4.0,1.7,0.5,4.0,4.8,0.78,2.1,0.0297439698244688
32.0,7.0,4.6,8.0,4.4,19.6,0.0,0.51,14.0,13.0,0.07,0.07,2.0,16.0,0.14,0.05,0.1,0.21,0.3,0.4,2.3,4.4,29.0,3.0,1.4,4.5,4.2,0.9,0.24,1.8,0.0400202232076316
29.6,10.6,9.4,9.2,8.0,10.0,0.0,0.51,14.0,32.0,0.175,0.03,2.0,35.0,0.105,0.08,0.1,0.14,0.9,2.5,4.9,3.0,26.0,26.0,1.5,3.9,0.5,4.1,0.86,1.4,0.0278896578274364
6.8,8.2,7.0,5.6,21.2,29.2,0.0,0.5,14.0,28.0,0.105,0.03,2.0,15.0,0.105,0.1,0.1,0.16,1.4,1.4,5.0,4.3,22.0,25.0,3.5,2.0,2.6,4.2,1.36,3.8,0.126955725400903
35.6,7.0,13.0,6.8,9.2,50.8,0.0,0.5,14.0,31.0,0.175,0.05,2.0,33.0,0.175,0.08,0.1,0.22,0.8,2.1,4.5,4.3,12.0,23.0,2.0,4.0,2.3,2.0,0.79,3.2,0.0316869625908708
20.0,7.0,4.6,6.8,26.0,11.2,0.0,0.5,14.0,15.0,0.175,0.03,2.0,32.0,0.07,0.01,0.1,0.4,2.6,0.9,5.0,3.8,28.0,23.0,1.0,2.8,0.5,3.1,0.58,3.2,0.0511548597381133
45.2,5.8,10.6,4.4,5.6,34.0,0.0,0.5,14.0,30.0,0.14,0.06,2.0,20.0,0.105,0.09,0.1,0.45,0.7,1.9,3.4,3.5,3.0,0.0,0.3,0.8,1.2,1.9,0.35,2.0,0.0299184785292236
34.4,9.4,10.6,17.6,23.6,49.6,0.0,0.5,14.0,30.0,0.175,0.01,2.0,7.0,0.105,0.09,0.1,0.24,2.1,3.8,4.4,3.3,30.0,2.0,1.7,1.0,3.9,2.6,1.08,3.1,0.023605538181404
36.8,13.0,7.0,16.4,26.0,26.8,0.0,0.5,14.0,32.0,0.07,0.04,2.0,22.0,0.14,0.1,0.1,0.25,3.1,3.9,4.5,4.9,5.0,30.0,3.6,2.8,3.3,1.5,0.29,4.0,0.0177578966017538
14.0,3.4,8.2,26.0,26.0,30.4,0.0,0.5,14.0,23.0,0.035,0.03,2.0,19.0,0.105,0.03,0.1,0.14,2.9,2.0,4.9,4.9,10.0,2.0,1.2,2.9,1.7,2.2,0.99,3.4,0.143875829911924
27.2,11.8,5.8,20.0,24.8,19.6,0.0,0.5,14.0,27.0,0.07,0.03,2.0,18.0,0.07,0.05,0.1,0.37,1.4,2.9,4.7,3.8,18.0,2.0,1.9,0.7,2.1,3.8,0.15,3.3,0.0260471245926897
30.8,7.0,9.4,16.4,12.8,29.2,0.0,0.51,14.0,25.0,0.035,0.01,2.0,23.0,0.14,0.09,0.1,0.18,0.6,2.1,2.2,2.1,5.0,25.0,4.0,0.2,0.8,0.1,0.22,1.7,0.0394832171447644
52.4,2.2,8.2,20.0,9.2,35.2,0.0,0.51,14.0,20.0,0.175,0.09,2.0,14.0,0.105,0.06,0.1,0.33,0.9,2.0,3.9,1.6,29.0,29.0,0.4,4.5,4.4,3.6,0.49,1.3,0.0636097500631567
18.8,4.6,13.0,11.6,4.4,40.0,0.0,0.51,14.0,33.0,0.105,0.04,2.0,33.0,0.105,0.02,0.1,0.32,0.2,0.9,2.3,2.7,19.0,23.0,2.9,4.3,3.0,3.9,0.14,1.0,0.0876749889553964
24.8,11.8,7.0,5.6,20.0,36.4,0.0,0.51,14.0,30.0,0.14,0.01,2.0,30.0,0.175,0.09,0.1,0.21,1.4,1.2,3.6,4.5,5.0,26.0,4.9,2.6,4.9,2.1,0.83,3.2,0.0254695135248049
45.2,8.2,5.8,10.4,4.4,42.4,0.0,0.5,14.0,34.0,0.175,0.05,2.0,22.0,0.07,0.04,0.1,0.18,0.4,3.5,3.0,1.3,15.0,4.0,0.2,3.1,1.6,2.8,0.28,1.1,0.0230418522828028
48.8,11.8,4.6,12.8,12.8,44.8,0.0,0.51,14.0,20.0,0.175,0.02,2.0,9.0,0.105,0.07,0.1,0.45,0.9,1.0,3.2,3.5,18.0,12.0,0.5,1.8,4.4,4.6,0.81,1.2,0.0149123402459499
51.2,3.4,10.6,10.4,4.4,49.6,0.0,0.5,14.0,27.0,0.105,0.02,2.0,21.0,0.105,0.1,0.1,0.19,0.3,1.0,1.9,1.9,25.0,21.0,2.0,2.2,1.9,1.5,0.14,1.3,0.04283045023044
26.0,10.6,4.6,26.0,6.8,10.0,0.0,0.51,14.0,31.0,0.07,0.02,2.0,9.0,0.105,0.03,0.1,0.43,0.6,2.8,3.6,2.0,10.0,5.0,4.8,1.7,1.3,4.2,0.5,1.0,0.0313950910443781
50.0,13.0,13.0,21.2,21.2,10.0,0.0,0.51,14.0,23.0,0.14,0.02,2.0,16.0,0.175,0.1,0.1,0.19,2.7,1.0,4.9,3.8,20.0,30.0,3.4,4.5,1.5,3.6,0.78,3.2,0.0137259374881028
26.0,9.4,11.8,17.6,26.0,23.2,0.0,0.5,14.0,35.0,0.105,0.1,2.0,30.0,0.07,0.01,0.1,0.33,1.8,2.8,4.3,4.5,29.0,5.0,0.7,0.9,1.0,3.7,0.7,3.6,0.0300033042889843
30.8,3.4,7.0,8.0,6.8,37.6,0.0,0.51,14.0,34.0,0.175,0.03,2.0,9.0,0.175,0.02,0.1,0.23,0.9,4.1,2.2,3.1,15.0,11.0,0.4,1.9,2.4,1.7,0.1,1.1,0.0753398701466651
40.4,7.0,1.0,14.0,4.4,37.6,0.0,0.5,14.0,31.0,0.105,0.1,2.0,35.0,0.07,0.02,0.1,0.38,0.5,4.0,1.8,3.4,3.0,26.0,4.2,4.2,2.0,4.3,0.49,1.4,0.0306479658623969
48.8,11.8,13.0,18.8,24.8,10.0,0.0,0.5,14.0,18.0,0.105,0.03,2.0,19.0,0.105,0.07,0.1,0.12,1.8,2.2,5.0,4.5,15.0,17.0,2.1,2.2,4.2,3.2,0.79,2.8,0.0143952328599943
45.2,1.0,9.4,12.8,14.0,41.2,0.0,0.51,14.0,35.0,0.105,0.03,2.0,18.0,0.175,0.1,0.1,0.28,1.4,3.4,4.9,4.6,28.0,6.0,4.7,4.9,1.5,2.0,1.27,2.5,0.122916991746452
24.8,13.0,5.8,24.8,14.0,22.0,0.0,0.5,14.0,16.0,0.175,0.03,2.0,20.0,0.175,0.02,0.1,0.21,1.7,1.7,4.4,4.5,9.0,22.0,4.8,3.4,3.2,3.1,0.58,2.9,0.0256636013275818
21.2,13.0,5.8,11.6,3.2,14.8,0.0,0.5,14.0,29.0,0.175,0.02,2.0,33.0,0.175,0.03,0.1,0.22,0.3,1.1,1.1,5.0,15.0,28.0,2.8,1.7,1.4,0.2,0.15,1.0,0.0326664828696486
40.4,5.8,9.4,17.6,3.2,44.8,0.0,0.51,14.0,5.0,0.175,0.02,2.0,20.0,0.175,0.1,0.1,0.27,0.2,0.3,1.3,4.8,4.0,15.0,4.4,0.8,4.5,0.7,0.18,1.0,0.034387261452953
45.2,11.8,9.4,16.4,5.6,43.6,0.0,0.5,14.0,8.0,0.035,0.03,2.0,25.0,0.035,0.02,0.1,0.19,0.6,0.9,2.6,4.4,7.0,25.0,1.0,4.0,1.2,1.2,0.36,1.9,0.0169525436116884
46.4,5.8,2.2,21.2,24.8,20.8,0.0,0.51,14.0,31.0,0.14,0.1,2.0,30.0,0.105,0.02,0.1,0.14,1.8,3.2,4.7,4.4,26.0,1.0,4.0,2.7,3.9,2.7,0.89,4.0,0.0284728682553894
14.0,4.6,11.8,11.6,22.4,41.2,0.0,0.5,14.0,23.0,0.035,0.03,2.0,29.0,0.175,0.03,0.1,0.42,2.2,2.4,4.8,3.6,4.0,18.0,2.5,0.8,3.9,4.6,0.46,2.2,0.109453862988827
41.6,9.4,7.0,16.4,11.6,11.2,0.0,0.5,14.0,29.0,0.105,0.09,2.0,21.0,0.14,0.04,0.1,0.38,1.1,1.4,3.5,3.2,0.0,17.0,0.4,1.7,2.7,3.3,0.1,1.4,0.0208949655026714
12.8,10.6,5.8,11.6,11.6,8.8,0.0,0.5,14.0,16.0,0.175,0.1,2.0,20.0,0.175,0.05,0.1,0.37,1.1,1.4,3.4,4.2,7.0,15.0,0.1,3.9,4.9,2.6,0.77,1.8,0.0551127376016262
14.0,10.6,3.4,16.4,3.2,32.8,0.0,0.5,14.0,31.0,0.14,0.08,2.0,17.0,0.105,0.04,0.1,0.18,0.3,4.0,1.2,2.4,11.0,29.0,0.8,1.9,0.2,2.9,0.19,1.1,0.0558646995950548
21.2,13.0,5.8,5.6,21.2,23.2,0.0,0.51,14.0,8.0,0.035,0.01,2.0,25.0,0.14,0.05,0.1,0.3,1.6,0.9,4.3,3.9,28.0,17.0,0.7,0.2,2.3,0.5,0.19,2.4,0.0297528426392493
50.0,9.4,9.4,14.0,20.0,47.2,0.0,0.5,14.0,34.0,0.175,0.03,2.0,16.0,0.14,0.05,0.1,0.5,2.6,3.0,4.6,4.5,20.0,15.0,1.6,2.6,4.5,4.9,0.77,3.0,0.0164324827614191
12.8,11.8,4.6,20.0,5.6,37.6,0.0,0.5,14.0,26.0,0.105,0.05,2.0,22.0,0.14,0.04,0.1,0.3,0.6,2.2,1.2,1.9,21.0,15.0,0.8,1.7,3.6,4.9,0.28,1.0,0.0559617955491717
23.6,8.2,7.0,18.8,21.2,35.2,0.0,0.51,14.0,14.0,0.07,0.02,2.0,24.0,0.14,0.08,0.1,0.42,2.6,1.5,3.9,4.7,12.0,11.0,3.6,0.8,3.0,3.2,0.51,3.1,0.0387400298831422
51.2,13.0,7.0,16.4,14.0,47.2,0.0,0.5,14.0,35.0,0.14,0.05,2.0,34.0,0.175,0.1,0.1,0.35,0.9,0.6,4.4,3.9,7.0,30.0,0.9,4.5,4.4,2.5,0.46,1.2,0.0129442929097429
