uuid,computer_name,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
00b8bae5-3dfe-4e27-8bf2-77dbb658639b,DESKTOP-L5CB36B,28.4,11.8,4.6,17.6,18.8,26.8,0.0,0.5,14.0,17.0,0.14,0.1,2.0,26.0,0.07,0.01,0.1,0.3,1.6,2.3,4.5,3.1,25.0,28.0,3.3,3.1,3.4,4.8,0.14,2.8,488001752,78.80000000000001,55.2,17.6,18.0,13.4,697.655269038793,28.0713658436582,28.0766926782908,138.762015383979,138.763062537723,0.991558604332247,0.991472020411294,685.926613641197,27.5994431174474,27.5998596719225,11.7286553975964,0.47192272621081205,0.47683300636830106,19.0848526259944,4.96896815751438,0.847676938682449,1.31895,0.0227463421752778,0.0413438987243226,0.036211048216511,0.0827558542712472,0.0823940462302096,0.0810664280514296,0.0807636816164024
890fcaa4-970f-45d5-b0d4-32c4303af892,DESKTOP-L5CB36B,27.2,13.0,9.4,12.8,15.2,13.6,0.0,0.5,14.0,31.0,0.07,0.04,2.0,27.0,0.105,0.05,0.1,0.18,1.8,2.0,4.4,3.0,4.0,6.0,1.7,4.2,1.1,3.1,1.71,1.9,3959904611,69.2,43.2,12.8,16.2,6.8,625.913430861442,25.1700381231644,25.1746725120992,124.346760243826,124.347192785678,0.990684578298897,0.990596832657272,614.306450688508,24.703283266913,24.7034551286078,11.6069801729345,0.466754856251434,0.47121738349143405,8.11251935852633,4.78682654165877,1.02272366457336,0.000583125,0.0252689007817526,0.0584527309808223,0.0298936659439426,0.0408973758318646,0.0408943733244426,0.0415849728046376,0.0415137680719182
77826fdb-9cd8-437d-b53b-db665b59f57e,DESKTOP-L5CB36B,29.6,8.2,5.8,10.4,17.6,14.8,0.0,0.51,14.0,15.0,0.07,0.05,2.0,35.0,0.035,0.03,0.1,0.22,2.2,1.1,4.4,4.8,4.0,0.0,3.0,2.4,4.1,2.8,0.88,1.8,246005877,62.0,45.6,10.4,13.2,7.4,513.090805701625,20.7644116382804,20.7691101402833,101.929853441752,101.930503172651,0.987516745206114,0.987411332171427,500.360674968658,20.2492325085609,20.2494906585244,12.7301307329669,0.515179129719518,0.519619481758898,7.2953315611325,12.5105671802168,0.656997910348054,0.0009902200000000002,0.0337267110899724,0.0663257522698984,0.045259978419015,0.0617460752857473,0.0617345305656481,0.0624486886832521,0.0626849972457361
c928869d-29be-4466-92ca-a1dae8d88c95,DESKTOP-L5CB36B,51.2,3.4,3.4,12.8,17.6,11.2,0.0,0.51,14.0,30.0,0.105,0.04,2.0,34.0,0.07,0.05,0.1,0.49,1.7,3.5,3.0,4.4,13.0,23.0,0.3,1.3,3.1,1.3,1.09,2.9,1405863776,54.8,48.0,12.8,9.0,5.6,684.628548709457,27.7796426894729,27.7849122707499,136.287608366929,136.288385159963,0.988247080874529,0.988158994968896,668.630349281496,27.1304961345689,27.1308054046591,15.9981994279613,0.6491465549040359,0.6541068660908441,6.46478168352802,6.0030159422708,1.04352855680863,0.000666684,0.042343233199596,0.0306834051533511,0.0556541220738509,0.0576195538498822,0.0576123460182818,0.0600897536595399,0.0600890239519805
32b55f26-7108-45b5-8629-eb9e6cf1921b,DESKTOP-L5CB36B,45.2,7.0,13.0,4.4,8.0,42.4,0.0,0.51,14.0,28.0,0.105,0.03,2.0,35.0,0.14,0.03,0.1,0.27,0.8,0.4,4.5,3.9,1.0,12.0,0.8,1.6,1.9,1.7,0.14,1.5,3841971772,34.4,20.4,4.4,34.2,21.2,397.00145544705,16.1921525994491,16.1981222898341,79.0800597810565,79.07962222102,0.98632183018438,0.986134606426257,386.215224724861,15.7522240011272,15.7520496834887,10.7862307221894,0.439928598321853,0.44607260634544205,20.8261995185601,5.73923292397947,1.27817656423035,1.87142,0.0261739761823975,0.100887953447647,0.0335601034129102,0.0182949012057451,0.018442462811665,0.0190632183803444,0.0187994569239825
229b87bd-043c-40dc-8803-5635689d3822,DESKTOP-L5CB36B,51.2,13.0,9.4,14.0,22.4,30.4,0.0,0.5,14.0,25.0,0.105,0.02,2.0,20.0,0.175,0.02,0.1,0.31,2.8,2.6,4.1,4.1,2.0,6.0,1.0,3.6,0.4,1.1,1.48,3.2,420484687,84.8,58.8,14.0,24.6,15.2,1157.13790778658,46.4808289504689,46.4855265522007,230.156740296391,230.157808842038,0.992417022658713,0.992371484216164,1139.65534393349,45.7785755244918,45.7790005966499,17.4825638530897,0.7022534259771109,0.706525955550764,7.79103116363954,3.18340165273892,1.13058860457761,0.000292334,0.0133511775567607,0.0283915562533057,0.0156180169886929,0.0214923300130405,0.0214927134730445,0.0221156731600982,0.0220644915072178
336a3b8a-210d-466c-b955-a2417d33f358,DESKTOP-L5CB36B,41.6,10.6,10.6,23.6,14.0,53.2,0.0,0.5,14.0,28.0,0.07,0.04,2.0,33.0,0.07,0.06,0.1,0.32,1.5,0.2,2.5,4.0,17.0,16.0,2.2,5.0,1.9,0.5,0.18,1.8,769730008,72.80000000000001,51.6,23.6,37.2,26.6,1119.59481965483,45.0453585098863,45.0522300527684,222.374015691517,222.373110930664,0.990212888379945,0.990133341405783,1097.7868639655298,44.1679453911876,44.1675859845678,21.8079556893006,0.877413118698708,0.8846440682005869,30.9034724815792,8.91374866437847,1.22921512450612,0.000380036,0.0184963075331437,0.0214043980201922,0.0244880627122398,0.0255115294536519,0.0258797719530843,0.0244531734932705,0.0243184814281625
5c1899b2-bf55-4fed-b1c1-8b146c7185ea,DESKTOP-L5CB36B,16.4,9.4,8.2,21.2,3.2,17.2,0.0,0.5,14.0,29.0,0.14,0.07,2.0,33.0,0.105,0.1,0.1,0.25,0.2,3.1,1.4,1.7,21.0,17.0,4.5,2.0,1.3,4.2,0.15,1.3,2010895272,46.400000000000006,27.6,21.2,16.799999999999997,8.6,464.737299739139,18.6432165814505,18.6479153527719,91.534762752655,91.5334583980604,0.983381135105661,0.983243223302894,449.418841195104,18.0287073942372,18.0281935859513,15.3184585440347,0.614509187213315,0.6197217668206401,15.2340312976748,6.29626949589603,1.5569711286532,1.27102,0.0484513246681571,0.0570399341874297,0.0683359709112577,0.0500125303807858,0.0511877233306436,0.0502334316101564,0.0539381583395759
9332fec0-e26d-46ce-aa4e-3353af68a4d7,DESKTOP-L5CB36B,20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,976343164,48.8,34.8,26.0,25.8,23.6,462.413008221903,18.7390420419706,18.7529242877015,91.829174115755,91.8289294950965,0.986488357834873,0.986120528980752,450.001510210331,18.2360726641475,18.2359755073516,12.4114980115724,0.502969377823124,0.51694878034989,6.19917706683239,4.52441979374241,0.337641453100524,2.6539,0.0568786506279732,0.0398895972787159,0.0728604378630408,0.232140016834305,0.224587964922587,0.240129377650923,0.215793867941915
3f142161-2fc2-405f-abbc-0e12f1da27de,DESKTOP-L5CB36B,10.4,4.6,10.6,5.6,22.4,13.6,0.0,0.51,14.0,26.0,0.07,0.03,2.0,10.0,0.105,0.02,0.1,0.49,1.3,1.5,4.9,4.4,18.0,15.0,0.6,3.4,3.7,3.0,0.49,2.5,754441872,59.6,50.4,5.6,17.4,6.8,115.592547731883,4.77147779963186,4.7751298192211,22.866905840868,22.8674329573939,0.97367951196287,0.973329541859544,109.587722020936,4.52360807850675,4.52381663283188,6.00482571094714,0.247869721125111,0.251313186389223,6.18021598546217,2.53342066616389,0.383745083881043,8.51286,0.128117683516178,0.340754051967172,0.211524477562826,0.0935850680279082,0.0940009201634087,0.0995240012127045,0.100145642673147
