N1,N2,N1_layer,N2_layer,per,w1,l1,l2,l2_gap,h1,h1_gap,h2_gap,N1_height_ratio,N1_fill_factor,N1_coil_diameter,N1_coil_zgap,N2_height_ratio,N2_fill_factor,N2_coil_diameter,N2_coil_zgap,N1_space_w,N1_space_l,N2_space_w,N2_space_l,N1_layer_gap,N2_layer_gap,N1_offset_ratio,N2_offset_ratio,N1_offset,N2_offset,cold_plate_x,cold_plate_y,cold_plate_z1,cold_plate_z2,mold_thick,thermal_conductivity,Temp_max_leg_right
5,5,2,2,17781,129.3,30.1,159.436335,19.7,67.3,2.4934650000000005,1.4334900000000013,0.87,0.63,9.2217825,7.221289999999999,0.94,0.67,10.596385,6.958819999999999,22.3,29.8,12.1,21.1,4.9,5.2,0.43,0.29,1.8810350000000005,0.5855100000000005,24.4,22.5,10.8,0.48,39.1,0.23,107.710748291016
5,5,2,2,12867,175.1,17.9,115.634845,20.5,58.9,3.560505,1.7935049999999997,0.69,0.76,7.721789999999999,3.25128,0.71,0.87,9.0956325,1.8121566666666664,20.9,14.3,9.7,6.7,2.9,9.3,0.61,-0.79,5.568995,-6.746995000000002,21.0,25.3,49.1,0.17,28.3,0.6,110.938287353516
5,5,2,2,22394,231.4,16.7,143.25458,32.4,89.7,9.328799999999998,10.665330000000004,0.68,0.72,10.97928,5.692960000000002,0.71,0.92,14.64801,1.69832,17.1,8.0,27.7,24.6,5.1,3.2,-0.35,0.18,-5.023199999999998,2.3411700000000004,12.6,17.0,20.4,0.43,18.7,1.25,110.378228759766
5,5,2,2,24651,148.7,26.1,152.785825,24.8,72.3,5.899680000000002,2.584725000000001,0.83,0.79,11.8517775,4.200629999999999,0.89,0.82,13.191134999999996,3.8608200000000017,27.3,20.0,13.7,15.0,2.8,8.9,-0.04,0.35,-0.2458200000000001,1.3917750000000004,12.6,20.4,39.5,0.19,31.2,0.81,109.922662353516
5,5,1,1,13334,199.7,17.8,138.81246,37.0,64.1,8.422740000000001,8.951564999999999,0.64,0.84,5.743359999999999,1.3127679999999995,0.51,0.6,3.2690999999999995,2.61528,14.7,28.9,13.8,26.1,2.6,9.5,-0.27,0.43,-3.11526,6.752935,26.1,26.6,49.7,0.45,37.8,1.84,98.1268859863281
5,5,1,1,11261,245.2,15.8,129.305,38.3,100.0,9.975,5.655,0.79,0.84,11.06,2.528,0.87,0.81,11.745,3.306,17.4,19.6,18.7,11.8,9.6,3.3,-0.05,-0.13,-0.525,-0.845,5.2,21.3,29.4,0.14,36.8,0.64,116.024774169922
5,5,1,1,12259,173.0,18.3,106.806675,44.3,67.3,9.5566,5.548885000000001,0.6,0.91,6.124299999999999,0.7268399999999999,0.83,0.75,6.982375,2.792949999999999,29.3,17.6,29.1,13.6,8.1,2.2,0.29,0.03,3.9034,0.171615,3.9,29.2,16.6,0.49,18.2,1.91,116.70400390625
6,6,2,2,8109,145.7,20.0,164.23323,38.5,65.1,4.436564999999999,6.288659999999999,0.71,0.7,8.088674999999999,4.6221000000000005,0.77,0.88,11.02794,2.0050799999999995,8.7,19.2,17.8,19.9,3.0,5.4,0.53,0.16,5.002935,1.19784,5.5,3.3,39.5,0.48,40.0,0.79,107.572229003906
5,5,2,1,13207,257.9,18.4,183.619325,47.9,106.5,7.7532,16.811025,0.74,0.89,17.535225,2.8897,0.59,0.95,9.948875,0.6283500000000004,28.7,26.4,3.6,28.1,7.5,2.2,-0.44,-0.23,-6.091799999999999,-5.021475000000001,15.4,24.7,10.8,0.32,28.7,0.65,102.924645996094
5,5,2,1,21366,226.5,17.8,136.72799833333335,47.8,97.1,7.005765,2.4469200000000004,0.61,0.91,13.4750525,1.77693,0.88,0.82,11.677893333333332,3.076128,6.4,3.8,25.0,5.6,8.7,1.6,0.63,-0.58,11.928735,-3.37908,14.0,19.9,39.8,0.1,32.2,1.16,109.751031494141
5,5,1,2,15583,215.2,19.3,151.36704,47.2,94.4,7.50952,1.1327999999999996,0.57,0.83,7.44344,1.829472,0.95,0.79,17.711800000000004,6.277599999999997,6.4,29.6,12.9,12.1,3.6,9.0,-0.63,0.52,-12.786480000000005,1.2271999999999998,19.6,6.7,11.9,0.11,10.6,0.43,108.305932617188
5,5,2,2,8492,223.9,20.3,164.2806,47.3,104.5,17.566450000000003,8.934750000000003,0.59,0.74,11.406175,5.343433333333333,0.7,0.71,12.984124999999995,7.071166666666668,20.4,4.8,19.7,24.8,7.2,6.4,-0.18,-0.43,-3.85605,-6.740250000000001,20.3,0.3,19.7,0.31,25.0,0.42,105.2923828125
5,5,2,1,29383,218.5,18.0,160.5919,33.0,66.0,0.7986,0.7095,0.89,0.62,9.1047,7.4404,0.95,0.85,8.8825,1.881,26.0,27.1,22.9,27.6,9.1,4.1,0.78,0.57,2.8314,0.9405,8.7,25.6,36.8,0.5,36.7,0.89,94.16207275
5,5,2,2,9575,148.3,28.5,153.796,42.7,86.5,6.881075000000001,9.752875,0.57,0.93,11.4634125,1.1504499999999993,0.59,0.81,10.3345875,3.232216666666666,26.5,24.1,24.0,7.4,1.3,9.1,-0.63,0.45,-11.716425000000005,7.979625000000001,25.2,23.3,42.3,0.22,25.6,1.96,112.298120117188
5,5,1,2,7920,135.1,35.9,161.53852333333336,25.8,120.7,18.24984,5.733249999999998,0.58,0.74,8.634073333333333,3.640312,0.62,0.85,15.902225,3.7417000000000016,16.0,25.6,26.6,28.7,4.9,2.4,0.28,-0.75,7.0971600000000015,-17.19975,2.6,21.5,29.3,0.19,38.6,0.49,115.569177246094
6,6,2,2,19449,110.8,23.9,139.67294,45.9,52.6,4.79712,12.44253,0.43,0.77,4.353965,1.734046667,0.43,0.89,5.032505,0.829326667,25.6,10.1,14.6,12.0,9.5,8.8,-0.68,0.17,-10.19388,2.54847,13.9,27.4,39.4,0.37,34.6,1.59,114.9390808
5,5,1,1,4669,227.7,15.4,118.6615,23.0,77.7,7.17948,6.2004600000000005,0.44,0.65,3.7037,2.3931600000000004,0.72,0.95,8.8578,0.5594400000000007,27.0,23.6,5.7,23.9,4.5,3.1,0.67,-0.43,14.57652,-4.67754,19.0,11.3,24.4,0.12,35.6,0.74,114.092980957031
5,5,2,2,26915,184.0,26.4,179.20770499999998,45.7,106.7,17.9256,13.82832,0.65,0.79,13.697612500000002,4.854849999999999,0.64,0.92,15.70624,1.8210133333333327,8.0,11.5,23.0,20.0,3.0,4.5,-0.04,-0.28,-0.7469,-5.377680000000002,10.6,7.9,35.8,0.21,35.7,1.15,104.517205810547
5,5,1,1,9842,200.8,18.4,136.755865,47.5,63.3,4.177799999999999,7.652969999999999,0.8,0.76,6.4144000000000005,2.4307199999999995,0.61,0.83,5.341465,1.3128420000000005,10.9,18.0,16.7,22.1,4.6,7.1,0.34,0.38,2.1522,4.69053,5.6,10.7,36.1,0.26,37.4,1.15,97.6262145996094
