w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_bottom_left
11.6,4.6,3.4,5.6,26.0,38.8,0.0,0.51,14.0,23.0,0.14,0.04,2.0,35.0,0.105,0.03,0.1,0.5,2.0,0.7,4.9,3.1,26.0,18.0,0.7,2.3,0.1,1.5,0.38,3.0,0.258329989981072
12.8,7.0,3.4,3.2,3.2,40.0,0.0,0.51,14.0,25.0,0.035,0.03,2.0,6.0,0.07,0.07,0.1,0.43,0.3,3.2,1.5,2.4,25.0,14.0,2.9,1.6,3.2,2.0,0.27,1.0,0.222170736947857
18.8,10.6,2.2,17.6,16.4,32.8,0.0,0.5,14.0,24.0,0.105,0.09,2.0,12.0,0.07,0.05,0.1,0.29,2.1,2.1,4.9,2.1,19.0,17.0,0.1,0.8,1.7,2.3,0.92,1.4,0.257459372683504
42.8,10.6,1.0,9.2,3.2,14.8,0.0,0.5,14.0,22.0,0.14,0.08,2.0,8.0,0.105,0.01,0.1,0.4,0.4,2.4,1.4,1.8,10.0,13.0,0.2,2.6,1.5,1.9,0.28,1.3,0.258139617027102
18.8,7.0,2.2,22.4,20.0,20.8,0.0,0.51,14.0,34.0,0.105,0.05,2.0,11.0,0.07,0.06,0.1,0.5,1.4,4.4,4.3,4.5,22.0,14.0,0.9,1.0,2.8,2.7,0.96,2.8,0.255344819324308
40.4,3.4,1.0,10.4,5.6,29.2,0.0,0.51,14.0,30.0,0.035,0.01,2.0,8.0,0.14,0.09,0.1,0.45,0.6,2.4,1.6,4.6,17.0,2.0,3.4,3.4,2.6,4.7,0.32,1.5,0.253396132512703
11.6,2.2,3.4,14.0,18.8,34.0,0.0,0.51,14.0,29.0,0.175,0.04,2.0,32.0,0.175,0.02,0.1,0.22,1.1,3.0,4.2,4.5,19.0,10.0,1.3,0.9,3.5,2.8,0.54,2.0,0.252918043010806
4.4,5.8,9.4,23.6,3.2,8.8,0.0,0.51,14.0,30.0,0.175,0.09,2.0,16.0,0.175,0.09,0.1,0.41,0.3,0.3,1.4,1.5,10.0,27.0,0.8,1.0,1.3,3.6,0.16,1.2,0.250757382064881
11.6,3.4,3.4,22.4,11.6,23.2,0.0,0.5,14.0,31.0,0.105,0.08,2.0,25.0,0.07,0.05,0.1,0.49,1.2,1.4,3.7,3.8,18.0,26.0,0.2,2.8,4.8,5.0,1.05,3.1,0.251203659355239
41.6,3.4,1.0,14.0,8.0,18.4,0.0,0.5,14.0,33.0,0.14,0.07,2.0,18.0,0.07,0.01,0.1,0.48,0.6,2.3,3.9,2.1,27.0,10.0,4.5,0.6,3.7,1.6,0.57,1.4,0.24976341733744
18.8,4.6,2.2,24.8,23.6,23.2,0.0,0.5,14.0,34.0,0.105,0.02,2.0,20.0,0.175,0.07,0.1,0.47,2.8,3.2,4.9,3.9,20.0,23.0,0.7,2.7,0.8,3.9,1.38,3.5,0.250805124954238
12.8,10.6,3.4,10.4,21.2,24.4,0.0,0.5,14.0,24.0,0.105,0.05,2.0,24.0,0.175,0.03,0.1,0.19,2.3,3.1,5.0,3.9,10.0,5.0,3.0,1.0,2.4,2.0,1.32,2.1,0.248733879576164
4.4,13.0,11.8,4.4,4.4,47.2,0.0,0.51,14.0,22.0,0.105,0.06,2.0,32.0,0.14,0.02,0.1,0.32,0.5,0.3,1.8,5.0,24.0,22.0,3.1,0.1,0.2,0.5,0.27,1.7,0.242311352135157
40.4,5.8,1.0,4.4,3.2,34.0,0.0,0.5,14.0,32.0,0.035,0.01,2.0,17.0,0.105,0.01,0.1,0.46,0.2,1.4,1.8,1.2,12.0,11.0,2.6,0.8,1.0,4.5,0.19,1.0,0.261253148226038
9.2,9.4,4.6,11.6,24.8,46.0,0.0,0.51,14.0,18.0,0.175,0.07,2.0,19.0,0.07,0.03,0.1,0.47,2.3,1.4,5.0,4.1,15.0,0.0,4.7,2.7,0.8,0.1,0.77,2.8,0.248277861873211
18.8,11.8,2.2,20.0,5.6,25.6,0.0,0.5,14.0,14.0,0.175,0.03,2.0,10.0,0.175,0.02,0.1,0.37,0.6,1.3,1.5,1.3,28.0,17.0,3.4,3.4,0.3,4.0,0.47,1.1,0.249161966868082
41.6,5.8,1.0,15.2,8.0,43.6,0.0,0.51,14.0,18.0,0.175,0.06,2.0,17.0,0.035,0.02,0.1,0.38,0.4,1.6,3.3,2.7,11.0,16.0,2.6,2.2,4.6,2.9,0.11,1.3,0.264075365817793
41.6,11.8,1.0,3.2,4.4,38.8,0.0,0.51,14.0,24.0,0.14,0.07,2.0,19.0,0.175,0.05,0.1,0.36,0.5,1.7,2.3,2.5,11.0,5.0,4.5,1.8,2.3,3.9,0.4,1.1,0.266504460451446
12.8,9.4,3.4,22.4,14.0,25.6,0.0,0.51,14.0,11.0,0.14,0.04,2.0,35.0,0.175,0.1,0.1,0.29,1.5,1.4,4.4,3.6,2.0,21.0,3.1,0.5,4.8,0.7,0.27,1.9,0.242883750693886
40.4,11.8,1.0,11.6,4.4,37.6,0.0,0.51,14.0,27.0,0.07,0.05,2.0,34.0,0.14,0.06,0.1,0.47,0.4,0.5,1.9,4.3,18.0,5.0,4.9,0.1,3.2,1.7,0.19,1.0,0.255844834524342
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.245152648126423
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.245152648126423
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.245152648126423
9.2,4.6,4.6,10.4,18.8,43.6,0.0,0.5,14.0,7.0,0.105,0.04,2.0,18.0,0.14,0.1,0.1,0.29,1.9,0.9,4.0,3.8,0.0,12.0,1.6,1.9,2.4,0.3,0.46,2.2,0.241617122894415
9.2,11.8,4.6,23.6,16.4,32.8,0.0,0.5,14.0,18.0,0.175,0.01,2.0,28.0,0.105,0.05,0.1,0.43,1.0,2.0,4.4,4.4,7.0,13.0,2.7,4.0,3.8,4.3,0.55,1.4,0.243420864476018
42.8,4.6,1.0,8.0,5.6,4.0,0.0,0.5,14.0,23.0,0.07,0.01,2.0,12.0,0.175,0.05,0.1,0.45,0.5,2.4,2.8,5.0,10.0,11.0,4.3,1.3,0.2,4.6,0.27,1.6,0.242260664143921
