w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lrx1_uH
12.8,1.0,1.0,2.0,9.2,25.6,0.0,0.51,14.0,31.0,0.035,0.01,2.0,14.0,0.07,0.06,0.1,0.36,0.5,2.0,4.1,5.0,28.0,26.0,2.6,4.5,4.2,3.0,0.42,3.7,0.148974601295657
3.2,3.4,1.0,5.6,4.4,35.2,0.0,0.51,14.0,28.0,0.14,0.08,2.0,25.0,0.14,0.09,0.1,0.39,0.3,1.4,2.6,4.9,4.0,7.0,1.1,2.4,2.8,2.7,0.17,1.4,1.43431337827753
3.2,2.2,1.0,6.8,9.2,34.0,0.0,0.5,14.0,31.0,0.035,0.03,2.0,21.0,0.07,0.07,0.1,0.29,0.9,1.4,4.6,4.4,8.0,12.0,2.1,1.3,3.7,0.8,0.73,4.2,1.30074445626626
48.8,4.6,1.0,2.0,6.8,5.2,0.0,0.51,14.0,26.0,0.14,0.06,2.0,28.0,0.105,0.01,0.1,0.49,0.3,0.6,3.0,3.6,10.0,29.0,2.1,1.5,2.4,0.8,0.22,2.8,0.176037597519576
4.4,4.6,1.0,11.6,6.8,46.0,0.0,0.5,14.0,32.0,0.14,0.05,2.0,9.0,0.07,0.07,0.1,0.24,0.6,2.1,4.1,3.0,21.0,29.0,3.4,1.7,1.6,2.0,0.22,1.5,2.71328946559285
5.6,10.6,1.0,4.4,4.4,53.2,0.0,0.5,14.0,14.0,0.105,0.01,2.0,18.0,0.105,0.05,0.1,0.17,0.3,0.4,2.1,4.6,26.0,23.0,3.4,3.2,2.6,1.6,0.28,1.0,2.29768866282258
5.6,1.0,1.0,11.6,14.0,31.6,0.0,0.5,14.0,34.0,0.14,0.08,2.0,16.0,0.175,0.06,0.1,0.41,1.6,0.7,4.3,4.4,16.0,29.0,2.0,4.4,4.0,1.3,0.21,1.8,1.98875820646372
6.8,13.0,1.0,11.6,5.6,41.2,0.0,0.5,14.0,6.0,0.105,0.1,2.0,21.0,0.175,0.04,0.1,0.39,0.3,0.7,2.7,4.2,26.0,24.0,4.3,3.3,1.2,3.9,0.19,1.7,5.33807306673833
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,4.09113751509333
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,4.09113751509333
6.8,8.2,1.0,9.2,11.6,17.2,0.0,0.51,14.0,31.0,0.035,0.02,2.0,27.0,0.105,0.08,0.1,0.2,1.3,1.7,3.0,4.9,17.0,19.0,2.2,2.0,3.7,3.2,0.68,1.3,4.09113751509333
6.8,4.6,1.0,22.4,6.8,10.0,0.0,0.5,14.0,26.0,0.175,0.01,2.0,19.0,0.07,0.01,0.1,0.49,0.6,0.8,2.9,3.8,8.0,9.0,3.5,1.1,1.3,2.0,0.46,1.6,5.20557729455123
8.0,7.0,1.0,17.6,8.0,16.0,0.0,0.51,14.0,35.0,0.14,0.06,2.0,31.0,0.035,0.03,0.1,0.47,0.4,3.7,3.6,2.4,0.0,8.0,1.0,2.2,1.5,4.5,0.2,1.4,6.41263266071513
