w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_center_T
50.0,1.0,2.2,14.0,4.4,25.6,0.0,0.51,14.0,34.0,0.14,0.02,2.0,30.0,0.035,0.02,0.1,0.13,0.2,2.4,1.9,4.8,6.0,20.0,4.4,3.6,0.1,1.5,0.13,1.2,0.0307841385607408
28.4,1.0,3.4,3.2,5.6,22.0,0.0,0.5,14.0,33.0,0.175,0.07,2.0,32.0,0.14,0.03,0.1,0.35,0.6,1.4,3.6,2.2,14.0,15.0,3.0,1.0,4.3,0.6,0.37,1.8,0.224206850220161
22.4,7.0,3.4,20.0,8.0,23.2,0.0,0.51,14.0,25.0,0.175,0.09,2.0,32.0,0.105,0.09,0.1,0.29,0.7,2.2,4.1,3.8,16.0,9.0,1.8,4.2,4.9,0.6,0.11,2.3,0.0452581152010514
16.4,5.8,1.0,10.4,8.0,47.2,0.0,0.51,14.0,9.0,0.14,0.01,2.0,9.0,0.105,0.07,0.1,0.42,0.9,1.1,3.4,3.3,13.0,30.0,3.3,0.2,0.9,1.6,0.1,3.1,0.119347571151638
29.6,1.0,2.2,10.4,9.2,5.2,0.0,0.51,14.0,11.0,0.175,0.07,2.0,20.0,0.07,0.03,0.1,0.24,0.6,0.9,2.8,2.3,19.0,7.0,4.2,4.1,0.9,2.1,0.31,2.0,0.0693391621481532
21.2,5.8,7.0,17.6,24.8,16.0,0.0,0.5,14.0,18.0,0.175,0.03,2.0,18.0,0.07,0.05,0.1,0.12,2.9,1.6,4.9,3.6,30.0,29.0,3.2,3.2,1.9,3.2,0.25,2.9,0.0562077647804336
35.6,5.8,10.6,16.4,16.4,50.8,0.0,0.5,14.0,28.0,0.035,0.02,2.0,9.0,0.07,0.01,0.1,0.17,0.9,3.3,3.6,2.6,0.0,10.0,2.4,3.6,4.2,4.2,0.68,2.3,0.0352873558156818
20.0,10.6,13.0,8.0,6.8,23.2,0.0,0.51,14.0,30.0,0.14,0.04,2.0,34.0,0.105,0.06,0.1,0.16,0.8,2.2,4.6,5.0,30.0,22.0,4.9,4.3,3.0,2.2,0.67,1.6,0.125541611847426
28.4,9.4,7.0,24.8,5.6,37.6,0.0,0.5,14.0,10.0,0.07,0.05,2.0,22.0,0.105,0.09,0.1,0.3,0.5,0.7,3.8,3.9,12.0,15.0,1.5,2.2,0.2,0.1,0.11,1.4,0.0294726758401173
18.8,7.0,8.2,15.2,8.0,7.6,0.0,0.51,14.0,29.0,0.14,0.03,2.0,12.0,0.07,0.07,0.1,0.12,0.9,3.4,5.0,3.2,2.0,4.0,4.5,0.2,2.4,1.3,0.28,1.6,0.0708593473821794
29.6,9.4,5.8,24.8,22.4,12.4,0.0,0.51,14.0,28.0,0.105,0.03,2.0,13.0,0.14,0.01,0.1,0.17,2.0,1.4,3.9,3.3,5.0,27.0,4.4,1.0,3.5,4.1,0.64,3.1,0.028708034645189
35.6,3.4,7.0,23.6,8.0,16.0,0.0,0.5,14.0,35.0,0.105,0.06,2.0,16.0,0.07,0.04,0.1,0.09,0.9,4.1,4.0,4.1,12.0,0.0,2.4,2.6,4.7,5.0,0.69,2.0,0.0243368950353818
24.8,1.0,5.8,9.2,9.2,46.0,0.0,0.5,14.0,28.0,0.14,0.01,2.0,12.0,0.105,0.1,0.1,0.21,1.1,0.7,3.2,4.2,14.0,3.0,0.5,4.9,5.0,4.5,0.25,1.3,0.0932449365514259
33.2,5.8,8.2,5.6,18.8,40.0,0.0,0.51,14.0,28.0,0.07,0.07,2.0,26.0,0.105,0.04,0.1,0.37,2.0,1.8,3.2,3.2,21.0,29.0,4.5,0.9,4.0,4.6,0.87,2.6,0.107624926251518
32.0,3.4,10.6,21.2,16.4,32.8,0.0,0.5,14.0,8.0,0.07,0.03,2.0,33.0,0.14,0.08,0.1,0.19,1.1,0.7,3.0,4.8,16.0,25.0,0.5,4.3,0.2,2.5,0.48,2.4,0.0314199441661686
34.4,8.2,11.8,18.8,14.0,34.0,0.0,0.5,14.0,8.0,0.105,0.06,2.0,16.0,0.105,0.06,0.1,0.32,1.7,0.3,4.9,2.0,12.0,8.0,3.2,0.4,0.5,1.7,0.29,1.3,0.0318191516669113
47.6,13.0,4.6,15.2,14.0,52.0,0.0,0.51,14.0,34.0,0.14,0.07,2.0,14.0,0.035,0.02,0.1,0.39,1.1,3.0,2.9,2.4,16.0,15.0,2.2,3.3,2.9,1.5,0.43,1.4,0.0284338598596503
52.4,9.4,10.6,4.4,14.0,13.6,0.0,0.51,14.0,20.0,0.14,0.05,2.0,24.0,0.035,0.01,0.1,0.15,1.4,1.5,4.7,2.3,11.0,18.0,0.5,1.3,4.5,2.4,0.39,1.3,0.0852731619962126
9.2,3.4,13.0,18.8,22.4,49.6,0.0,0.5,14.0,27.0,0.14,0.07,2.0,32.0,0.07,0.04,0.1,0.32,1.2,0.8,4.2,3.6,22.0,23.0,0.1,4.6,4.4,1.8,0.37,3.5,0.119326572599441
6.8,10.6,9.4,15.2,15.2,12.4,0.0,0.5,14.0,22.0,0.07,0.07,2.0,9.0,0.175,0.08,0.1,0.44,1.5,1.7,4.1,3.0,9.0,26.0,3.5,3.1,0.8,4.4,0.82,2.0,0.197363167324071
21.2,7.0,9.4,15.2,11.6,6.4,0.0,0.51,14.0,35.0,0.175,0.06,2.0,35.0,0.105,0.04,0.1,0.36,0.9,1.7,4.3,5.0,4.0,26.0,0.5,4.0,2.6,4.0,0.28,3.2,0.0625119382052507
35.6,7.0,3.4,16.4,3.2,50.8,0.0,0.51,14.0,6.0,0.14,0.01,2.0,28.0,0.07,0.01,0.1,0.46,0.3,0.7,1.4,4.3,29.0,25.0,0.1,4.6,0.5,3.0,0.12,1.2,0.0354656004786991
51.2,1.0,2.2,6.8,18.8,10.0,0.0,0.5,14.0,23.0,0.14,0.08,2.0,10.0,0.07,0.02,0.1,0.21,2.3,1.6,4.7,2.2,15.0,11.0,3.3,3.9,0.9,4.4,0.98,1.2,0.0611363218485399
12.8,9.4,8.2,15.2,17.6,37.6,0.0,0.5,14.0,24.0,0.14,0.08,2.0,12.0,0.105,0.02,0.1,0.14,1.5,0.4,4.6,3.1,6.0,25.0,3.5,5.0,4.0,0.9,0.2,2.2,0.108246599656887
27.2,3.4,7.0,14.0,8.0,41.2,0.0,0.5,14.0,18.0,0.07,0.03,2.0,23.0,0.07,0.02,0.1,0.4,0.5,1.7,4.4,5.0,4.0,15.0,2.2,2.9,3.7,2.0,0.3,1.0,0.0565260485811272
46.4,4.6,2.2,16.4,8.0,5.2,0.0,0.51,14.0,16.0,0.07,0.02,2.0,15.0,0.07,0.05,0.1,0.46,0.4,1.2,3.2,4.8,18.0,3.0,0.2,4.1,4.4,5.0,0.1,1.6,0.0271516614246125
16.4,8.2,8.2,11.6,22.4,4.0,0.0,0.5,14.0,23.0,0.175,0.09,2.0,31.0,0.14,0.07,0.1,0.48,1.0,1.8,4.6,2.8,9.0,22.0,2.6,4.1,5.0,0.6,0.55,2.4,0.105205986544263
27.2,5.8,4.6,8.0,23.6,12.4,0.0,0.5,14.0,35.0,0.175,0.04,2.0,12.0,0.035,0.02,0.1,0.19,1.9,2.8,4.5,4.2,23.0,13.0,2.3,4.5,0.5,3.5,1.28,2.9,0.0961446698910936
33.2,7.0,4.6,18.8,10.4,7.6,0.0,0.5,14.0,28.0,0.105,0.06,2.0,9.0,0.07,0.04,0.1,0.09,0.5,3.1,4.9,3.7,0.0,16.0,4.2,4.8,1.5,1.5,0.22,3.6,0.033937780969825
18.8,13.0,10.6,5.6,18.8,37.6,0.0,0.5,14.0,15.0,0.14,0.06,2.0,9.0,0.175,0.06,0.1,0.18,1.6,0.9,3.7,3.7,17.0,19.0,1.1,2.9,3.6,4.3,0.44,3.4,0.190732437893584
24.8,11.8,8.2,6.8,8.0,47.2,0.0,0.51,14.0,17.0,0.14,0.05,2.0,22.0,0.175,0.04,0.1,0.3,1.0,1.1,4.2,3.6,30.0,16.0,2.5,0.2,0.2,4.0,0.49,3.2,0.118572071149047
30.8,3.4,10.6,14.0,14.0,24.4,0.0,0.5,14.0,33.0,0.175,0.05,2.0,7.0,0.14,0.03,0.1,0.23,1.3,3.7,3.6,2.5,14.0,9.0,4.8,2.2,0.4,4.2,0.99,1.5,0.0483450554137339
23.6,11.8,7.0,14.0,12.8,44.8,0.0,0.5,14.0,28.0,0.07,0.02,2.0,23.0,0.14,0.05,0.1,0.39,1.0,2.6,4.6,4.0,24.0,8.0,2.1,4.3,4.1,4.7,0.17,3.6,0.0613659252515403
12.8,9.4,7.0,15.2,21.2,17.2,0.0,0.5,14.0,19.0,0.105,0.04,2.0,23.0,0.105,0.02,0.1,0.15,1.3,0.8,4.9,4.9,22.0,22.0,0.9,2.2,2.9,2.5,0.16,4.4,0.105951926780289
14.0,1.0,8.2,8.0,16.4,19.6,0.0,0.51,14.0,32.0,0.14,0.01,2.0,11.0,0.105,0.09,0.1,0.1,1.8,3.2,4.1,4.7,16.0,8.0,1.8,4.9,1.0,4.8,0.39,2.9,0.188644663897153
46.4,1.0,11.8,12.8,9.2,48.4,0.0,0.5,14.0,18.0,0.175,0.05,2.0,19.0,0.105,0.06,0.1,0.49,0.5,1.3,5.0,4.6,23.0,26.0,0.9,1.7,4.3,4.6,0.38,2.6,0.0348786018939964
21.2,11.8,5.8,26.0,4.4,46.0,0.0,0.51,14.0,32.0,0.175,0.03,2.0,16.0,0.14,0.01,0.1,0.31,0.5,0.7,2.3,2.2,20.0,0.0,3.5,4.1,4.5,2.8,0.33,1.0,0.036890457697885
44.0,8.2,11.8,15.2,20.0,32.8,0.0,0.51,14.0,35.0,0.175,0.06,2.0,24.0,0.07,0.03,0.1,0.08,1.8,4.2,3.2,3.3,26.0,24.0,2.5,3.2,4.6,2.2,1.74,3.1,0.0310097883910232
22.4,8.2,7.0,20.0,3.2,52.0,0.0,0.51,14.0,19.0,0.175,0.1,2.0,32.0,0.07,0.06,0.1,0.3,0.2,0.6,1.5,4.5,6.0,18.0,3.4,3.5,3.9,4.2,0.17,1.1,0.0462437506749297
17.6,9.4,5.8,26.0,8.0,29.2,0.0,0.51,14.0,16.0,0.105,0.03,2.0,16.0,0.175,0.03,0.1,0.48,0.9,2.0,1.8,3.8,10.0,12.0,2.4,0.8,4.7,1.3,0.57,1.0,0.0453562624030161
28.4,8.2,3.4,6.8,16.4,30.4,0.0,0.51,14.0,19.0,0.105,0.06,2.0,14.0,0.14,0.1,0.1,0.28,1.3,1.5,4.0,4.9,3.0,27.0,2.9,2.3,4.2,4.0,0.53,1.5,0.1033712878589
28.4,13.0,5.8,18.8,17.6,25.6,0.0,0.51,14.0,9.0,0.14,0.05,2.0,11.0,0.14,0.05,0.1,0.33,1.0,1.0,4.9,4.9,28.0,21.0,4.9,3.8,4.4,1.4,0.24,2.5,0.0395546727761923
32.0,3.4,8.2,12.8,16.4,32.8,0.0,0.5,14.0,11.0,0.175,0.05,2.0,31.0,0.14,0.06,0.1,0.31,1.6,1.5,4.3,2.9,29.0,13.0,3.7,2.9,1.0,3.2,0.13,1.5,0.0504460834431273
9.2,5.8,5.8,9.2,24.8,35.2,0.0,0.51,14.0,35.0,0.14,0.09,2.0,25.0,0.14,0.02,0.1,0.23,2.9,4.3,4.1,4.4,4.0,16.0,3.6,2.3,3.7,4.8,0.69,3.5,0.245242511749054
36.8,9.4,2.2,6.8,3.2,49.6,0.0,0.51,14.0,13.0,0.105,0.05,2.0,32.0,0.175,0.02,0.1,0.17,0.3,1.5,1.2,4.6,27.0,26.0,0.6,4.1,1.9,0.9,0.25,1.1,0.0811954349532928
24.8,5.8,2.2,9.2,5.6,42.4,0.0,0.5,14.0,31.0,0.105,0.01,2.0,12.0,0.105,0.07,0.1,0.38,0.6,0.2,1.7,1.8,28.0,23.0,3.4,1.4,2.9,2.1,0.19,1.3,0.0902010923233395
12.8,9.4,11.8,17.6,9.2,11.2,0.0,0.51,14.0,27.0,0.14,0.01,2.0,31.0,0.14,0.05,0.1,0.39,1.1,2.6,3.0,3.2,11.0,5.0,1.2,5.0,4.5,3.3,1.0,2.7,0.0907892020824751
27.2,9.4,4.6,3.2,5.6,18.4,0.0,0.51,14.0,27.0,0.175,0.08,2.0,31.0,0.14,0.05,0.1,0.2,0.3,0.9,3.0,2.4,30.0,19.0,1.3,2.0,0.1,1.7,0.16,1.8,0.22808053947323
17.6,7.0,4.6,24.8,6.8,16.0,0.0,0.5,14.0,22.0,0.175,0.03,2.0,26.0,0.14,0.09,0.1,0.33,0.8,0.2,3.9,4.5,3.0,9.0,2.9,0.3,1.1,3.7,0.17,2.0,0.0486892513143294
28.4,5.8,9.4,20.0,20.0,10.0,0.0,0.5,14.0,33.0,0.14,0.1,2.0,30.0,0.07,0.05,0.1,0.21,2.6,2.8,3.8,4.2,27.0,13.0,0.7,2.2,0.4,1.2,1.12,2.4,0.036134609799438
47.6,11.8,3.4,6.8,14.0,10.0,0.0,0.51,14.0,14.0,0.105,0.02,2.0,25.0,0.105,0.06,0.1,0.44,1.2,1.3,5.0,4.8,6.0,17.0,2.4,1.4,3.5,4.1,0.31,4.3,0.0614943617088897
39.2,11.8,8.2,16.4,21.2,19.6,0.0,0.51,14.0,21.0,0.14,0.07,2.0,20.0,0.175,0.09,0.1,0.25,1.7,0.8,4.8,2.7,18.0,10.0,2.7,1.5,3.8,2.5,0.5,2.3,0.0318841198570205
45.2,9.4,5.8,16.4,23.6,29.2,0.0,0.51,14.0,28.0,0.07,0.01,2.0,32.0,0.105,0.04,0.1,0.5,2.2,1.6,4.5,4.3,24.0,6.0,3.0,1.9,3.9,4.2,1.2,2.9,0.0276589778333337
28.4,10.6,9.4,24.8,16.4,34.0,0.0,0.51,14.0,28.0,0.035,0.01,2.0,26.0,0.105,0.03,0.1,0.23,2.0,1.5,4.7,3.6,11.0,9.0,2.5,3.1,3.9,1.0,1.3,1.4,0.0288998788411898
39.2,8.2,2.2,23.6,10.4,46.0,0.0,0.5,14.0,17.0,0.14,0.1,2.0,14.0,0.175,0.06,0.1,0.28,1.1,1.9,3.9,1.6,19.0,12.0,2.8,1.0,4.3,1.6,0.35,1.0,0.0227576300099724
32.0,4.6,5.8,14.0,20.0,10.0,0.0,0.5,14.0,28.0,0.175,0.01,2.0,14.0,0.14,0.09,0.1,0.22,2.4,3.5,5.0,4.3,14.0,3.0,1.3,0.1,3.8,3.2,2.07,4.2,0.0459375442280286
33.2,13.0,3.4,12.8,11.6,34.0,0.0,0.51,14.0,14.0,0.07,0.07,2.0,29.0,0.07,0.07,0.1,0.22,0.5,1.8,3.6,4.8,7.0,27.0,2.3,1.6,3.8,4.5,0.28,3.5,0.0484515139386672
32.0,9.4,3.4,21.2,15.2,19.6,0.0,0.5,14.0,32.0,0.14,0.03,2.0,14.0,0.07,0.04,0.1,0.47,1.7,2.5,3.4,2.5,7.0,1.0,4.9,4.4,3.5,1.4,0.68,2.1,0.0312160666925815
20.0,4.6,2.2,6.8,9.2,43.6,0.0,0.51,14.0,7.0,0.105,0.02,2.0,17.0,0.14,0.09,0.1,0.24,0.5,0.8,5.0,3.9,3.0,16.0,0.5,1.1,0.8,4.6,0.44,3.2,0.153048473125687
45.2,1.0,11.8,10.4,11.6,50.8,0.0,0.51,14.0,34.0,0.14,0.06,2.0,29.0,0.14,0.09,0.1,0.32,0.5,1.6,4.2,4.5,7.0,5.0,5.0,4.8,3.6,0.8,0.1,2.3,0.04625388960228
46.4,2.2,11.8,11.6,15.2,14.8,0.0,0.5,14.0,34.0,0.175,0.06,2.0,27.0,0.105,0.05,0.1,0.16,0.7,0.8,3.9,4.8,5.0,6.0,0.4,4.8,1.2,2.7,0.55,2.4,0.0387313299349914
24.8,8.2,13.0,4.4,9.2,36.4,0.0,0.5,14.0,9.0,0.07,0.03,2.0,24.0,0.07,0.07,0.1,0.34,0.9,0.5,2.3,2.3,11.0,29.0,0.8,5.0,2.8,4.9,0.23,1.7,0.182586553151191
38.0,10.6,9.4,8.0,15.2,26.8,0.0,0.5,14.0,21.0,0.105,0.08,2.0,10.0,0.105,0.05,0.1,0.49,0.9,2.1,3.8,4.4,7.0,27.0,3.6,0.8,3.7,4.1,0.38,2.2,0.0653431517256727
21.2,4.6,7.0,24.8,18.8,12.4,0.0,0.51,14.0,33.0,0.175,0.05,2.0,19.0,0.07,0.06,0.1,0.23,1.4,4.2,5.0,2.7,28.0,15.0,1.4,2.3,0.2,3.8,0.23,2.2,0.0390965777354906
22.4,3.4,3.4,24.8,21.2,31.6,0.0,0.51,14.0,29.0,0.105,0.01,2.0,22.0,0.14,0.09,0.1,0.21,1.9,4.0,4.9,4.8,25.0,26.0,2.8,3.4,2.4,2.8,0.11,3.4,0.0384939727869337
17.6,7.0,2.2,4.4,10.4,10.0,0.0,0.51,14.0,23.0,0.105,0.03,2.0,18.0,0.105,0.04,0.1,0.37,0.5,1.5,3.2,1.9,19.0,24.0,1.9,4.1,3.6,3.7,0.38,1.8,0.255368817363426
20.0,4.6,11.8,21.2,4.4,14.8,0.0,0.5,14.0,32.0,0.14,0.06,2.0,33.0,0.175,0.05,0.1,0.42,0.4,0.6,1.9,1.5,24.0,16.0,1.8,2.9,0.1,0.2,0.24,1.1,0.048199409112567
11.6,7.0,5.8,12.8,3.2,41.2,0.0,0.5,14.0,22.0,0.175,0.03,2.0,26.0,0.105,0.08,0.1,0.25,0.2,1.5,1.8,2.7,0.0,24.0,2.3,0.8,3.0,2.9,0.14,1.0,0.139422111859146
28.4,9.4,3.4,6.8,18.8,11.2,0.0,0.51,14.0,23.0,0.175,0.02,2.0,14.0,0.07,0.06,0.1,0.21,2.5,2.0,4.5,3.7,7.0,24.0,1.9,3.5,4.4,0.3,0.34,2.5,0.105065829350669
14.0,2.2,9.4,18.8,22.4,28.0,0.0,0.51,14.0,22.0,0.07,0.03,2.0,26.0,0.14,0.1,0.1,0.26,2.4,2.7,4.0,3.5,5.0,29.0,1.7,1.0,4.7,2.8,2.33,3.3,0.0825865747001346
20.0,3.4,10.6,21.2,9.2,52.0,0.0,0.5,14.0,35.0,0.14,0.03,2.0,31.0,0.035,0.02,0.1,0.46,0.5,0.9,4.1,3.7,14.0,26.0,4.5,2.0,0.8,4.2,0.33,2.5,0.0494654341097845
28.4,8.2,8.2,3.2,3.2,43.6,0.0,0.5,14.0,30.0,0.105,0.05,2.0,19.0,0.07,0.01,0.1,0.5,0.4,3.8,1.5,2.5,8.0,9.0,1.2,4.7,2.5,4.1,0.14,1.0,0.214297523375202
6.8,1.0,1.0,11.6,6.8,30.4,0.0,0.51,14.0,30.0,0.07,0.05,2.0,23.0,0.14,0.1,0.1,0.3,0.9,3.7,4.0,1.9,22.0,26.0,1.0,2.0,2.3,2.9,0.27,1.7,0.28249571514124
22.4,10.6,8.2,8.0,3.2,20.8,0.0,0.51,14.0,24.0,0.07,0.07,2.0,16.0,0.105,0.03,0.1,0.49,0.4,1.9,1.4,1.3,13.0,23.0,1.8,0.1,1.5,1.8,0.12,1.2,0.112802186822816
22.4,1.0,7.0,20.0,10.4,47.2,0.0,0.51,14.0,9.0,0.14,0.04,2.0,8.0,0.14,0.08,0.1,0.48,1.1,0.6,2.9,4.8,11.0,5.0,1.6,0.8,2.5,3.1,0.31,1.3,0.0492220386632462
26.0,11.8,4.6,6.8,20.0,44.8,0.0,0.5,14.0,29.0,0.105,0.09,2.0,7.0,0.105,0.09,0.1,0.34,2.7,1.6,4.2,2.7,26.0,12.0,1.1,0.8,1.1,3.1,0.36,2.4,0.113432954805825
23.6,5.8,5.8,12.8,17.6,28.0,0.0,0.5,14.0,34.0,0.175,0.1,2.0,11.0,0.105,0.07,0.1,0.28,1.7,2.5,4.9,4.5,5.0,20.0,1.0,4.5,1.1,2.5,1.02,2.2,0.0656611281766274
23.6,13.0,7.0,26.0,10.4,23.2,0.0,0.51,14.0,29.0,0.105,0.09,2.0,23.0,0.105,0.08,0.1,0.31,1.3,2.2,4.0,3.1,22.0,16.0,0.9,4.0,1.1,4.2,0.67,1.3,0.0335063185086898
46.4,13.0,9.4,20.0,3.2,29.2,0.0,0.5,14.0,12.0,0.07,0.04,2.0,12.0,0.175,0.08,0.1,0.28,0.3,0.3,1.5,4.3,22.0,12.0,4.6,2.4,3.1,2.9,0.17,1.1,0.0221401157941808
26.0,13.0,10.6,6.8,20.0,41.2,0.0,0.5,14.0,23.0,0.175,0.07,2.0,32.0,0.14,0.07,0.1,0.2,2.3,1.1,4.9,3.4,15.0,17.0,1.0,3.4,1.9,2.8,0.37,1.9,0.112124209087728
8.0,2.2,9.4,20.0,15.2,25.6,0.0,0.5,14.0,16.0,0.175,0.05,2.0,29.0,0.175,0.06,0.1,0.44,1.5,1.4,4.7,4.0,13.0,13.0,2.1,4.4,3.4,2.0,0.87,3.2,0.130428223251441
21.2,4.6,10.6,16.4,16.4,25.6,0.0,0.51,14.0,29.0,0.14,0.05,2.0,30.0,0.035,0.03,0.1,0.35,1.9,3.3,3.0,3.8,13.0,16.0,2.2,3.1,2.0,2.8,1.19,2.1,0.0610835941071402
27.2,3.4,5.8,16.4,23.6,37.6,0.0,0.5,14.0,35.0,0.175,0.08,2.0,21.0,0.07,0.06,0.1,0.28,2.8,3.4,4.2,4.1,18.0,2.0,1.4,2.8,2.1,3.2,0.28,3.3,0.0
14.0,5.8,7.0,18.8,5.6,6.4,0.0,0.51,14.0,13.0,0.14,0.01,2.0,24.0,0.14,0.08,0.1,0.41,0.5,0.3,3.1,3.6,15.0,1.0,0.4,1.4,2.5,2.9,0.12,2.1,0.0793235498330213
36.8,13.0,13.0,24.8,22.4,49.6,0.0,0.5,14.0,31.0,0.175,0.07,2.0,23.0,0.14,0.07,0.1,0.32,2.5,3.1,4.7,3.6,17.0,19.0,3.4,4.6,1.9,3.8,1.05,2.2,0.0222337919717827
10.4,4.6,7.0,11.6,24.8,16.0,0.0,0.5,14.0,26.0,0.14,0.06,2.0,26.0,0.14,0.07,0.1,0.23,1.1,1.8,4.7,3.6,27.0,18.0,2.1,1.6,0.9,1.7,0.96,3.0,0.168217786522073
24.8,10.6,7.0,26.0,17.6,40.0,0.0,0.5,14.0,31.0,0.105,0.02,2.0,10.0,0.105,0.08,0.1,0.25,1.4,4.1,4.6,1.8,7.0,6.0,0.5,4.8,0.1,3.2,0.53,1.6,0.0322977884945121
46.4,2.2,10.6,9.2,5.6,36.4,0.0,0.5,14.0,22.0,0.14,0.02,2.0,4.0,0.14,0.07,0.1,0.23,0.5,0.5,3.7,1.8,22.0,27.0,1.8,5.0,1.7,3.7,0.49,1.5,0.0480401578189997
29.6,7.0,3.4,4.4,4.4,17.2,0.0,0.51,14.0,22.0,0.175,0.06,2.0,25.0,0.14,0.01,0.1,0.19,0.3,1.1,2.5,2.7,22.0,17.0,0.1,2.0,4.2,2.8,0.19,1.4,0.153249951656216
33.2,10.6,1.0,14.0,5.6,53.2,0.0,0.5,14.0,33.0,0.175,0.07,2.0,23.0,0.14,0.01,0.1,0.35,0.7,1.0,1.7,4.4,28.0,21.0,0.8,2.7,2.0,2.2,0.5,1.0,0.0442212600313815
28.4,10.6,13.0,4.4,11.6,25.6,0.0,0.51,14.0,31.0,0.14,0.08,2.0,21.0,0.07,0.01,0.1,0.12,1.4,2.7,4.8,4.4,0.0,24.0,4.1,2.6,3.8,5.0,0.66,1.5,0.155289913421374
39.2,4.6,1.0,8.0,3.2,46.0,0.0,0.5,14.0,21.0,0.105,0.06,2.0,7.0,0.175,0.1,0.1,0.29,0.2,2.7,1.5,2.9,5.0,3.0,3.0,3.2,2.2,1.8,0.13,1.0,0.0672128608459931
14.0,4.6,9.4,15.2,8.0,49.6,0.0,0.51,14.0,18.0,0.105,0.07,2.0,22.0,0.175,0.01,0.1,0.35,1.0,1.6,2.1,2.1,24.0,6.0,1.5,1.1,3.2,0.4,0.74,1.6,0.096475075248924
22.4,5.8,13.0,26.0,8.0,20.8,0.0,0.5,14.0,22.0,0.14,0.08,2.0,24.0,0.105,0.06,0.1,0.17,1.0,2.2,2.8,4.8,25.0,21.0,3.7,1.5,0.7,3.3,0.3,1.5,0.0365474042507645
28.4,3.4,1.0,12.8,4.4,28.0,0.0,0.5,14.0,33.0,0.175,0.07,2.0,29.0,0.14,0.09,0.1,0.46,0.5,3.4,1.8,2.5,9.0,19.0,0.9,3.5,2.1,1.6,0.11,1.0,0.0577120102432671
12.8,3.4,8.2,17.6,23.6,19.6,0.0,0.51,14.0,27.0,0.175,0.03,2.0,28.0,0.14,0.03,0.1,0.23,2.5,2.7,4.8,2.6,3.0,4.0,2.6,0.7,4.7,2.3,1.45,2.3,0.0965787124889991
14.0,2.2,5.8,24.8,20.0,53.2,0.0,0.5,14.0,34.0,0.105,0.07,2.0,15.0,0.175,0.05,0.1,0.4,2.0,2.9,4.8,1.6,14.0,27.0,2.5,2.0,2.2,0.5,0.62,1.4,0.0613712990165576
30.8,7.0,9.4,6.8,17.6,30.4,0.0,0.51,14.0,34.0,0.175,0.08,2.0,32.0,0.105,0.09,0.1,0.26,0.8,1.6,4.1,2.8,30.0,0.0,2.9,4.0,4.2,4.6,0.76,2.7,0.0949665732834722
41.6,7.0,11.8,26.0,26.0,43.6,0.0,0.51,14.0,33.0,0.175,0.09,2.0,30.0,0.07,0.02,0.1,0.34,3.2,1.5,4.6,5.0,16.0,24.0,1.2,2.4,4.4,4.2,0.38,4.4,0.0195807443949672
32.0,7.0,7.0,6.8,24.8,52.0,0.0,0.51,14.0,35.0,0.07,0.05,2.0,20.0,0.175,0.06,0.1,0.37,1.8,1.8,4.6,4.6,14.0,11.0,4.2,1.0,2.6,2.4,1.38,4.5,0.0925653064282562
28.4,3.4,9.4,10.4,10.4,11.2,0.0,0.5,14.0,28.0,0.14,0.03,2.0,9.0,0.07,0.02,0.1,0.34,0.9,2.9,3.1,4.5,14.0,27.0,2.3,3.4,2.2,0.1,0.49,3.0,0.0738007620655889
22.4,5.8,11.8,14.0,24.8,24.4,0.0,0.5,14.0,17.0,0.175,0.08,2.0,21.0,0.105,0.01,0.1,0.37,3.2,2.2,4.2,4.9,14.0,20.0,2.5,2.1,1.3,2.8,0.59,3.8,0.0647463654158666
10.4,5.8,3.4,9.2,18.8,34.0,0.0,0.51,14.0,30.0,0.175,0.02,2.0,13.0,0.035,0.01,0.1,0.04,1.4,1.7,3.9,3.0,28.0,21.0,2.5,3.2,2.4,1.9,1.28,2.2,0.215428722893562
15.2,13.0,9.4,12.8,3.2,12.4,0.0,0.5,14.0,22.0,0.105,0.08,2.0,16.0,0.105,0.09,0.1,0.32,0.2,0.8,2.1,2.0,23.0,27.0,4.7,2.0,1.8,4.1,0.1,1.0,0.105210698923077
23.6,11.8,1.0,18.8,3.2,13.6,0.0,0.5,14.0,34.0,0.175,0.09,2.0,24.0,0.035,0.03,0.1,0.35,0.4,3.1,1.8,3.5,23.0,11.0,3.8,1.2,2.5,0.1,0.27,1.3,0.0463773620792058
18.8,3.4,10.6,11.6,22.4,52.0,0.0,0.51,14.0,34.0,0.07,0.01,2.0,13.0,0.14,0.01,0.1,0.22,1.8,4.2,5.0,3.1,24.0,4.0,2.0,1.9,3.0,4.1,0.73,1.9,0.0937583918076033
39.2,3.4,9.4,24.8,21.2,28.0,0.0,0.5,14.0,35.0,0.175,0.05,2.0,9.0,0.175,0.04,0.1,0.19,2.4,2.9,4.4,4.2,3.0,9.0,3.3,4.6,0.3,0.7,1.3,2.1,0.0219504507687186
