w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_top_right
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.268784906886628
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.268784906886628
6.8,9.4,5.8,9.2,17.6,43.6,0.0,0.5,14.0,28.0,0.175,0.1,2.0,28.0,0.105,0.03,0.1,0.14,1.4,2.6,4.1,3.5,20.0,26.0,0.8,2.9,2.5,4.6,0.33,1.7,0.268784906886628
38.0,2.2,1.0,15.2,11.6,34.0,0.0,0.5,14.0,35.0,0.14,0.02,2.0,17.0,0.14,0.03,0.1,0.19,1.3,4.2,4.2,2.8,11.0,24.0,4.4,1.6,1.5,0.1,0.92,2.0,0.275906557339199
17.6,4.6,2.2,14.0,20.0,48.4,0.0,0.51,14.0,29.0,0.175,0.09,2.0,16.0,0.105,0.1,0.1,0.4,2.4,3.2,4.7,4.0,13.0,18.0,4.1,1.1,2.0,3.1,1.41,1.5,0.275537316138852
18.8,9.4,2.2,23.6,9.2,34.0,0.0,0.51,14.0,21.0,0.175,0.1,2.0,11.0,0.105,0.01,0.1,0.35,1.1,1.8,3.7,4.0,14.0,3.0,0.2,1.4,0.3,4.2,0.35,3.1,0.267797827382632
39.2,5.8,1.0,23.6,3.2,16.0,0.0,0.5,14.0,6.0,0.175,0.05,2.0,32.0,0.14,0.1,0.1,0.2,0.3,0.5,1.5,4.7,18.0,2.0,0.1,2.3,4.0,0.6,0.2,1.3,0.256655802284677
39.2,7.0,1.0,9.2,11.6,16.0,0.0,0.5,14.0,21.0,0.14,0.06,2.0,12.0,0.105,0.07,0.1,0.19,1.1,0.7,2.9,3.0,26.0,23.0,1.7,4.7,2.8,0.3,0.22,2.1,0.264203202547918
18.8,4.6,2.2,16.4,16.4,35.2,0.0,0.51,14.0,34.0,0.105,0.08,2.0,28.0,0.175,0.1,0.1,0.39,1.5,1.9,4.0,3.9,5.0,22.0,1.0,0.7,0.7,1.7,0.42,2.4,0.254809878148724
17.6,11.8,2.2,21.2,15.2,47.2,0.0,0.51,14.0,35.0,0.07,0.01,2.0,28.0,0.14,0.02,0.1,0.2,1.5,4.7,3.9,5.0,6.0,30.0,1.0,3.0,1.5,4.1,0.64,3.2,0.270524946246568
11.6,8.2,3.4,12.8,6.8,30.4,0.0,0.5,14.0,32.0,0.105,0.01,2.0,23.0,0.105,0.08,0.1,0.34,0.9,0.4,5.0,4.9,21.0,4.0,4.2,2.1,3.5,4.6,0.26,1.1,0.266362200996905
17.6,4.6,2.2,4.4,11.6,48.4,0.0,0.5,14.0,26.0,0.07,0.03,2.0,14.0,0.175,0.03,0.1,0.34,1.1,3.2,2.3,4.3,19.0,24.0,2.0,0.2,3.7,2.5,1.07,2.2,0.269755451077062
38.0,1.0,1.0,26.0,8.0,43.6,0.0,0.51,14.0,32.0,0.14,0.04,2.0,9.0,0.14,0.06,0.1,0.49,0.7,2.5,1.7,4.7,26.0,24.0,2.3,4.6,3.4,3.9,0.26,1.2,0.268946730385692
6.8,11.8,5.8,8.0,10.4,40.0,0.0,0.5,14.0,21.0,0.035,0.01,2.0,7.0,0.175,0.02,0.1,0.27,1.1,2.0,2.0,3.5,29.0,17.0,1.4,4.9,3.4,3.9,0.1,1.8,0.271907199785477
9.2,10.6,4.6,6.8,3.2,22.0,0.0,0.5,14.0,15.0,0.105,0.04,2.0,20.0,0.105,0.02,0.1,0.48,0.2,0.6,2.1,3.0,24.0,8.0,0.8,5.0,2.3,3.6,0.12,1.0,0.270304667123061
9.2,11.8,4.6,16.4,6.8,49.6,0.0,0.5,14.0,17.0,0.14,0.1,2.0,33.0,0.14,0.02,0.1,0.5,0.4,0.6,3.2,2.3,11.0,26.0,3.9,2.8,4.3,4.0,0.17,1.7,0.250962781367042
6.8,8.2,5.8,10.4,9.2,12.4,0.0,0.5,14.0,10.0,0.14,0.06,2.0,21.0,0.035,0.03,0.1,0.11,0.9,1.1,3.0,1.8,21.0,20.0,0.2,2.8,0.3,4.0,0.42,1.5,0.27202470308777
11.6,10.6,3.4,5.6,16.4,36.4,0.0,0.5,14.0,17.0,0.105,0.08,2.0,20.0,0.035,0.02,0.1,0.39,0.8,1.3,3.2,4.8,8.0,28.0,4.6,1.6,1.5,2.5,0.1,2.4,0.26550245861138
11.6,4.6,3.4,22.4,4.4,22.0,0.0,0.51,14.0,33.0,0.175,0.07,2.0,20.0,0.105,0.07,0.1,0.17,0.3,3.0,2.2,4.9,25.0,17.0,5.0,0.2,2.0,5.0,0.14,1.5,0.256389570034073
11.6,5.8,3.4,12.8,23.6,25.6,0.0,0.5,14.0,13.0,0.175,0.07,2.0,19.0,0.175,0.09,0.1,0.39,2.2,0.9,4.7,4.8,1.0,25.0,4.4,2.4,1.9,3.8,0.42,2.7,0.264828120903661
6.8,8.2,5.8,12.8,14.0,53.2,0.0,0.51,14.0,28.0,0.175,0.06,2.0,33.0,0.105,0.07,0.1,0.28,1.4,1.5,5.0,4.6,16.0,27.0,3.8,1.2,0.4,4.3,1.13,3.1,0.25657081438139
11.6,10.6,3.4,17.6,16.4,40.0,0.0,0.5,14.0,23.0,0.14,0.03,2.0,34.0,0.035,0.01,0.1,0.04,1.4,0.9,3.8,4.8,13.0,9.0,0.3,4.9,1.8,4.1,0.28,1.6,0.2624752873246
11.6,4.6,3.4,5.6,26.0,38.8,0.0,0.51,14.0,23.0,0.14,0.04,2.0,35.0,0.105,0.03,0.1,0.5,2.0,0.7,4.9,3.1,26.0,18.0,0.7,2.3,0.1,1.5,0.38,3.0,0.268170185487118
12.8,7.0,3.4,3.2,3.2,40.0,0.0,0.51,14.0,25.0,0.035,0.03,2.0,6.0,0.07,0.07,0.1,0.43,0.3,3.2,1.5,2.4,25.0,14.0,2.9,1.6,3.2,2.0,0.27,1.0,0.269507194842524
18.8,10.6,2.2,17.6,16.4,32.8,0.0,0.5,14.0,24.0,0.105,0.09,2.0,12.0,0.07,0.05,0.1,0.29,2.1,2.1,4.9,2.1,19.0,17.0,0.1,0.8,1.7,2.3,0.92,1.4,0.252804420557877
42.8,10.6,1.0,9.2,3.2,14.8,0.0,0.5,14.0,22.0,0.14,0.08,2.0,8.0,0.105,0.01,0.1,0.4,0.4,2.4,1.4,1.8,10.0,13.0,0.2,2.6,1.5,1.9,0.28,1.3,0.261874180057323
18.8,7.0,2.2,22.4,20.0,20.8,0.0,0.51,14.0,34.0,0.105,0.05,2.0,11.0,0.07,0.06,0.1,0.5,1.4,4.4,4.3,4.5,22.0,14.0,0.9,1.0,2.8,2.7,0.96,2.8,0.257085745747408
40.4,3.4,1.0,10.4,5.6,29.2,0.0,0.51,14.0,30.0,0.035,0.01,2.0,8.0,0.14,0.09,0.1,0.45,0.6,2.4,1.6,4.6,17.0,2.0,3.4,3.4,2.6,4.7,0.32,1.5,0.255018845608719
11.6,2.2,3.4,14.0,18.8,34.0,0.0,0.51,14.0,29.0,0.175,0.04,2.0,32.0,0.175,0.02,0.1,0.22,1.1,3.0,4.2,4.5,19.0,10.0,1.3,0.9,3.5,2.8,0.54,2.0,0.256885202489672
4.4,5.8,9.4,23.6,3.2,8.8,0.0,0.51,14.0,30.0,0.175,0.09,2.0,16.0,0.175,0.09,0.1,0.41,0.3,0.3,1.4,1.5,10.0,27.0,0.8,1.0,1.3,3.6,0.16,1.2,0.248644744893816
11.6,3.4,3.4,22.4,11.6,23.2,0.0,0.5,14.0,31.0,0.105,0.08,2.0,25.0,0.07,0.05,0.1,0.49,1.2,1.4,3.7,3.8,18.0,26.0,0.2,2.8,4.8,5.0,1.05,3.1,0.253813244053163
41.6,3.4,1.0,14.0,8.0,18.4,0.0,0.5,14.0,33.0,0.14,0.07,2.0,18.0,0.07,0.01,0.1,0.48,0.6,2.3,3.9,2.1,27.0,10.0,4.5,0.6,3.7,1.6,0.57,1.4,0.259648500085813
18.8,4.6,2.2,24.8,23.6,23.2,0.0,0.5,14.0,34.0,0.105,0.02,2.0,20.0,0.175,0.07,0.1,0.47,2.8,3.2,4.9,3.9,20.0,23.0,0.7,2.7,0.8,3.9,1.38,3.5,0.255968010317699
12.8,10.6,3.4,10.4,21.2,24.4,0.0,0.5,14.0,24.0,0.105,0.05,2.0,24.0,0.175,0.03,0.1,0.19,2.3,3.1,5.0,3.9,10.0,5.0,3.0,1.0,2.4,2.0,1.32,2.1,0.246077923403809
4.4,13.0,11.8,4.4,4.4,47.2,0.0,0.51,14.0,22.0,0.105,0.06,2.0,32.0,0.14,0.02,0.1,0.32,0.5,0.3,1.8,5.0,24.0,22.0,3.1,0.1,0.2,0.5,0.27,1.7,0.237100027836308
40.4,5.8,1.0,4.4,3.2,34.0,0.0,0.5,14.0,32.0,0.035,0.01,2.0,17.0,0.105,0.01,0.1,0.46,0.2,1.4,1.8,1.2,12.0,11.0,2.6,0.8,1.0,4.5,0.19,1.0,0.255283871076377
9.2,9.4,4.6,11.6,24.8,46.0,0.0,0.51,14.0,18.0,0.175,0.07,2.0,19.0,0.07,0.03,0.1,0.47,2.3,1.4,5.0,4.1,15.0,0.0,4.7,2.7,0.8,0.1,0.77,2.8,0.252014677726915
18.8,11.8,2.2,20.0,5.6,25.6,0.0,0.5,14.0,14.0,0.175,0.03,2.0,10.0,0.175,0.02,0.1,0.37,0.6,1.3,1.5,1.3,28.0,17.0,3.4,3.4,0.3,4.0,0.47,1.1,0.245531651627661
41.6,5.8,1.0,15.2,8.0,43.6,0.0,0.51,14.0,18.0,0.175,0.06,2.0,17.0,0.035,0.02,0.1,0.38,0.4,1.6,3.3,2.7,11.0,16.0,2.6,2.2,4.6,2.9,0.11,1.3,0.259917268278356
41.6,11.8,1.0,3.2,4.4,38.8,0.0,0.51,14.0,24.0,0.14,0.07,2.0,19.0,0.175,0.05,0.1,0.36,0.5,1.7,2.3,2.5,11.0,5.0,4.5,1.8,2.3,3.9,0.4,1.1,0.267866551362831
12.8,9.4,3.4,22.4,14.0,25.6,0.0,0.51,14.0,11.0,0.14,0.04,2.0,35.0,0.175,0.1,0.1,0.29,1.5,1.4,4.4,3.6,2.0,21.0,3.1,0.5,4.8,0.7,0.27,1.9,0.247483672865077
40.4,11.8,1.0,11.6,4.4,37.6,0.0,0.51,14.0,27.0,0.07,0.05,2.0,34.0,0.14,0.06,0.1,0.47,0.4,0.5,1.9,4.3,18.0,5.0,4.9,0.1,3.2,1.7,0.19,1.0,0.262916227739007
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.241188884791689
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.241188884791689
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.241188884791689
9.2,4.6,4.6,10.4,18.8,43.6,0.0,0.5,14.0,7.0,0.105,0.04,2.0,18.0,0.14,0.1,0.1,0.29,1.9,0.9,4.0,3.8,0.0,12.0,1.6,1.9,2.4,0.3,0.46,2.2,0.251166599982976
9.2,11.8,4.6,23.6,16.4,32.8,0.0,0.5,14.0,18.0,0.175,0.01,2.0,28.0,0.105,0.05,0.1,0.43,1.0,2.0,4.4,4.4,7.0,13.0,2.7,4.0,3.8,4.3,0.55,1.4,0.243652190260558
42.8,4.6,1.0,8.0,5.6,4.0,0.0,0.5,14.0,23.0,0.07,0.01,2.0,12.0,0.175,0.05,0.1,0.45,0.5,2.4,2.8,5.0,10.0,11.0,4.3,1.3,0.2,4.6,0.27,1.6,0.246063774999179
9.2,3.4,4.6,20.0,15.2,4.0,0.0,0.51,14.0,32.0,0.175,0.01,2.0,35.0,0.175,0.08,0.1,0.46,0.8,2.9,3.0,3.0,30.0,18.0,2.2,4.2,4.2,3.0,0.7,2.1,0.248287778749985
20.0,3.4,2.2,15.2,11.6,47.2,0.0,0.5,14.0,27.0,0.175,0.03,2.0,17.0,0.07,0.05,0.1,0.06,1.3,1.2,3.2,3.8,14.0,12.0,3.0,4.3,1.7,3.0,0.57,1.7,0.243145708353546
9.2,8.2,4.6,11.6,12.8,47.2,0.0,0.5,14.0,23.0,0.105,0.04,2.0,12.0,0.14,0.05,0.1,0.5,0.6,0.9,4.8,3.4,9.0,22.0,3.3,1.3,0.1,0.9,0.36,1.7,0.246877531064015
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.234995472086164
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.234995472086164
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.234995472086164
44.0,2.2,1.0,3.2,6.8,42.4,0.0,0.51,14.0,25.0,0.175,0.06,2.0,34.0,0.175,0.04,0.1,0.33,0.3,1.0,1.2,1.4,21.0,13.0,0.9,4.6,0.7,4.4,0.2,1.0,0.248137907674296
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.23625811883627
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.23625811883627
44.0,5.8,1.0,15.2,9.2,20.8,0.0,0.51,14.0,31.0,0.175,0.06,2.0,32.0,0.105,0.03,0.1,0.39,0.9,3.6,3.3,2.8,7.0,22.0,3.0,3.9,1.1,0.7,0.8,2.0,0.23625811883627
12.8,13.0,3.4,24.8,16.4,50.8,0.0,0.51,14.0,22.0,0.175,0.04,2.0,30.0,0.175,0.02,0.1,0.37,1.8,0.8,5.0,1.9,17.0,2.0,3.0,1.5,2.0,2.3,0.1,1.0,0.243196340427236
12.8,13.0,3.4,10.4,14.0,14.8,0.0,0.51,14.0,23.0,0.175,0.01,2.0,16.0,0.035,0.02,0.1,0.36,0.6,0.6,2.4,3.5,26.0,22.0,2.3,1.9,0.2,1.5,0.21,2.3,0.241575240113185
41.6,2.2,1.0,12.8,11.6,29.2,0.0,0.51,14.0,25.0,0.175,0.09,2.0,23.0,0.105,0.08,0.1,0.42,1.0,1.6,4.7,3.9,12.0,22.0,3.5,3.9,0.9,3.0,0.11,2.1,0.237531592874425
46.4,13.0,1.0,14.0,4.4,34.0,0.0,0.5,14.0,28.0,0.14,0.03,2.0,26.0,0.14,0.07,0.1,0.28,0.3,1.1,2.4,5.0,17.0,24.0,1.5,3.6,2.3,1.8,0.2,1.4,0.229745159526515
20.0,9.4,2.2,22.4,18.8,24.4,0.0,0.51,14.0,26.0,0.14,0.1,2.0,12.0,0.175,0.03,0.1,0.23,1.0,1.1,4.7,2.5,19.0,15.0,2.2,0.9,3.9,5.0,0.53,1.2,0.230511713902782
46.4,5.8,1.0,5.6,8.0,16.0,0.0,0.51,14.0,34.0,0.175,0.1,2.0,7.0,0.07,0.02,0.1,0.14,0.6,4.1,4.3,4.4,1.0,12.0,3.9,2.0,0.4,0.9,0.43,1.0,0.244955670215129
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.231016171967932
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.231016171967932
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.231016171967932
44.0,2.2,1.0,6.8,5.6,34.0,0.0,0.51,14.0,27.0,0.07,0.07,2.0,16.0,0.105,0.04,0.1,0.27,0.7,1.9,1.6,3.3,19.0,1.0,1.7,3.6,4.6,1.7,0.43,1.3,0.232401869636807
6.8,4.6,7.0,10.4,6.8,42.4,0.0,0.51,14.0,28.0,0.14,0.02,2.0,34.0,0.14,0.08,0.1,0.36,0.6,1.5,4.3,2.5,0.0,26.0,2.1,3.2,1.9,2.9,0.57,2.1,0.223932798357262
20.0,8.2,2.2,17.6,21.2,36.4,0.0,0.5,14.0,35.0,0.175,0.01,2.0,16.0,0.14,0.07,0.1,0.41,1.1,2.4,4.4,3.1,11.0,30.0,0.3,4.7,2.5,4.7,0.55,2.3,0.231533115426639
21.2,10.6,2.2,10.4,20.0,49.6,0.0,0.51,14.0,18.0,0.105,0.09,2.0,14.0,0.175,0.1,0.1,0.33,1.9,2.4,5.0,4.5,19.0,21.0,4.1,4.0,3.7,3.8,0.49,1.3,0.229065152172007
20.0,7.0,2.2,12.8,20.0,35.2,0.0,0.5,14.0,21.0,0.175,0.04,2.0,10.0,0.175,0.01,0.1,0.28,1.4,2.7,3.9,3.9,14.0,6.0,2.8,5.0,3.9,3.2,1.07,3.0,0.235511361357076
45.2,2.2,1.0,4.4,3.2,8.8,0.0,0.51,14.0,34.0,0.07,0.06,2.0,26.0,0.175,0.08,0.1,0.28,0.4,0.9,1.6,2.1,20.0,12.0,3.6,1.3,2.1,0.7,0.18,1.5,0.240926397443392
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.240129377650923
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.240129377650923
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.240129377650923
21.2,8.2,2.2,18.8,9.2,11.2,0.0,0.5,14.0,22.0,0.14,0.04,2.0,13.0,0.14,0.07,0.1,0.19,1.0,2.9,4.1,5.0,8.0,26.0,4.5,3.1,2.3,0.9,0.31,1.6,0.229526012111846
45.2,4.6,1.0,17.6,10.4,13.6,0.0,0.51,14.0,18.0,0.07,0.02,2.0,16.0,0.14,0.09,0.1,0.18,1.3,1.9,2.9,1.8,16.0,20.0,0.4,4.7,3.2,1.5,0.65,1.7,0.231045537563305
20.0,2.2,2.2,10.4,3.2,10.0,0.0,0.5,14.0,19.0,0.105,0.07,2.0,11.0,0.105,0.04,0.1,0.39,0.3,0.6,1.4,4.7,20.0,19.0,3.5,2.9,1.3,3.9,0.23,1.0,0.243312057811767
6.8,7.0,7.0,16.4,4.4,8.8,0.0,0.51,14.0,35.0,0.14,0.02,2.0,26.0,0.07,0.01,0.1,0.38,0.4,3.0,2.3,1.7,20.0,14.0,4.9,3.6,4.8,5.0,0.12,1.3,0.231267034478529
48.8,11.8,1.0,6.8,9.2,48.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,28.0,0.105,0.02,0.1,0.19,0.8,2.5,3.1,3.2,13.0,14.0,0.9,4.2,4.4,1.4,0.57,1.1,0.219573419899062
5.6,8.2,8.2,11.6,9.2,26.8,0.0,0.5,14.0,21.0,0.035,0.01,2.0,10.0,0.07,0.07,0.1,0.27,0.6,1.6,3.7,2.9,19.0,15.0,0.3,3.3,4.8,2.4,0.1,1.7,0.232271182828186
10.4,7.0,4.6,18.8,22.4,31.6,0.0,0.5,14.0,25.0,0.175,0.03,2.0,35.0,0.175,0.1,0.1,0.26,2.1,2.4,5.0,4.2,25.0,12.0,3.8,1.7,3.6,0.1,1.75,2.6,0.226314900898165
6.8,9.4,7.0,16.4,8.0,26.8,0.0,0.5,14.0,28.0,0.105,0.05,2.0,20.0,0.14,0.09,0.1,0.24,1.0,1.4,3.4,1.8,10.0,3.0,2.5,4.7,0.7,1.1,0.38,1.3,0.216860876996547
10.4,10.6,4.6,4.4,14.0,44.8,0.0,0.51,14.0,33.0,0.175,0.02,2.0,12.0,0.14,0.03,0.1,0.33,1.1,4.4,2.6,3.0,8.0,30.0,4.6,4.0,0.1,2.7,0.85,2.0,0.218933294796427
8.0,3.4,5.8,8.0,8.0,42.4,0.0,0.51,14.0,4.0,0.175,0.08,2.0,7.0,0.14,0.02,0.1,0.48,0.6,0.4,4.0,2.3,13.0,4.0,0.9,1.5,2.0,1.2,0.25,1.5,0.222670111210482
10.4,10.6,4.6,18.8,22.4,34.0,0.0,0.51,14.0,19.0,0.14,0.01,2.0,14.0,0.175,0.06,0.1,0.44,2.2,1.8,4.5,3.7,29.0,17.0,1.5,3.7,0.5,1.1,1.65,3.0,0.220188317558949
46.4,9.4,1.0,11.6,6.8,41.2,0.0,0.5,14.0,33.0,0.14,0.1,2.0,10.0,0.175,0.06,0.1,0.39,0.7,4.5,1.8,2.9,25.0,23.0,1.3,1.8,3.7,0.4,0.12,1.6,0.226445390803154
22.4,4.6,2.2,11.6,4.4,17.2,0.0,0.5,14.0,35.0,0.14,0.02,2.0,5.0,0.14,0.04,0.1,0.27,0.4,4.1,3.1,2.8,10.0,29.0,2.3,3.1,1.6,2.0,0.28,1.0,0.233034177677626
48.8,7.0,1.0,3.2,3.2,44.8,0.0,0.5,14.0,35.0,0.105,0.09,2.0,28.0,0.175,0.07,0.1,0.42,0.4,2.8,1.3,4.2,30.0,27.0,2.4,4.5,1.0,0.9,0.17,1.1,0.224317258747781
5.6,2.2,8.2,4.4,6.8,37.6,0.0,0.51,14.0,31.0,0.105,0.04,2.0,27.0,0.105,0.06,0.1,0.25,0.9,3.2,4.2,3.4,25.0,3.0,0.5,1.6,2.2,1.5,0.13,1.9,0.231409305027849
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.22367488864016
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.22367488864016
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.22367488864016
48.8,5.8,1.0,11.6,8.0,24.4,0.0,0.51,14.0,35.0,0.105,0.07,2.0,23.0,0.035,0.02,0.1,0.4,0.4,0.4,3.5,3.8,9.0,3.0,2.3,0.8,2.1,0.5,0.17,3.0,0.224055334185235
6.8,9.4,7.0,5.6,11.6,12.4,0.0,0.51,14.0,19.0,0.105,0.04,2.0,20.0,0.105,0.06,0.1,0.18,0.8,1.7,3.4,4.7,2.0,19.0,2.0,4.7,0.5,1.1,0.61,3.0,0.22250294925959
