w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_top_left
18.8,11.8,2.2,8.0,8.0,37.6,0.0,0.51,14.0,31.0,0.035,0.03,2.0,12.0,0.105,0.04,0.1,0.31,0.9,2.8,4.3,4.9,17.0,19.0,4.2,3.5,4.2,2.3,0.42,3.2,0.127196708366435
18.8,11.8,2.2,8.0,8.0,37.6,0.0,0.51,14.0,31.0,0.035,0.03,2.0,12.0,0.105,0.04,0.1,0.31,0.9,2.8,4.3,4.9,17.0,19.0,4.2,3.5,4.2,2.3,0.42,3.2,0.127196708366435
18.8,11.8,2.2,8.0,8.0,37.6,0.0,0.51,14.0,31.0,0.035,0.03,2.0,12.0,0.105,0.04,0.1,0.31,0.9,2.8,4.3,4.9,17.0,19.0,4.2,3.5,4.2,2.3,0.42,3.2,0.127196708366435
10.4,4.6,8.2,12.8,14.0,25.6,0.0,0.51,14.0,30.0,0.14,0.09,2.0,30.0,0.105,0.08,0.1,0.49,1.4,4.0,4.5,1.6,22.0,25.0,1.1,0.7,2.4,1.9,0.87,1.4,0.127155667760293
18.8,11.8,4.6,26.0,5.6,46.0,0.0,0.51,14.0,21.0,0.175,0.04,2.0,26.0,0.105,0.04,0.1,0.43,0.3,1.3,1.7,4.5,2.0,2.0,2.7,1.1,3.6,0.4,0.25,1.6,0.127147127316938
8.0,2.2,10.6,4.4,22.4,46.0,0.0,0.51,14.0,16.0,0.14,0.01,2.0,34.0,0.105,0.01,0.1,0.18,2.4,1.2,3.8,4.5,26.0,20.0,1.6,2.5,1.5,4.9,0.82,3.5,0.127112487808337
11.6,4.6,7.0,21.2,16.4,4.0,0.0,0.51,14.0,20.0,0.14,0.05,2.0,22.0,0.175,0.02,0.1,0.45,0.8,2.2,4.5,2.7,23.0,6.0,2.1,1.5,2.3,1.7,0.54,2.3,0.126369046241003
8.0,13.0,10.6,17.6,12.8,31.6,0.0,0.5,14.0,30.0,0.175,0.04,2.0,34.0,0.175,0.01,0.1,0.18,0.9,0.5,4.5,4.6,18.0,25.0,2.4,3.3,4.4,0.1,0.28,2.5,0.126318752622654
36.8,2.2,2.2,26.0,24.8,52.0,0.0,0.51,14.0,32.0,0.14,0.1,2.0,18.0,0.105,0.01,0.1,0.38,3.1,1.7,5.0,3.5,26.0,3.0,2.2,4.1,4.3,3.0,1.47,3.2,0.126038158030044
14.0,9.4,5.8,26.0,15.2,42.4,0.0,0.51,14.0,33.0,0.175,0.04,2.0,18.0,0.14,0.04,0.1,0.39,1.0,1.0,3.1,4.8,9.0,12.0,2.9,3.6,4.1,4.7,0.81,2.3,0.126033743503509
17.6,2.2,4.6,17.6,21.2,34.0,0.0,0.51,14.0,35.0,0.105,0.07,2.0,9.0,0.175,0.05,0.1,0.42,2.3,1.8,5.0,4.3,13.0,28.0,4.9,1.3,5.0,1.4,0.22,3.4,0.125914899067322
38.0,5.8,2.2,15.2,23.6,46.0,0.0,0.5,14.0,11.0,0.105,0.07,2.0,10.0,0.035,0.03,0.1,0.05,2.9,0.9,4.4,4.3,26.0,23.0,4.1,3.3,3.4,0.4,0.67,3.6,0.12591356690998
17.6,8.2,4.6,21.2,9.2,38.8,0.0,0.51,14.0,33.0,0.07,0.01,2.0,35.0,0.175,0.05,0.1,0.26,0.9,1.4,3.1,4.8,7.0,17.0,1.5,2.9,5.0,3.6,0.59,2.1,0.125827574707675
36.8,1.0,2.2,20.0,8.0,37.6,0.0,0.51,14.0,35.0,0.14,0.02,2.0,13.0,0.07,0.03,0.1,0.4,1.0,2.7,3.5,3.8,25.0,29.0,4.2,1.6,0.3,1.4,0.6,1.7,0.125319975908033
24.8,2.2,3.4,8.0,17.6,49.6,0.0,0.51,14.0,16.0,0.07,0.04,2.0,24.0,0.105,0.01,0.1,0.39,2.2,0.8,3.7,2.2,25.0,30.0,2.2,3.4,1.7,3.1,0.29,1.7,0.12522290521415
18.8,8.2,4.6,23.6,8.0,19.6,0.0,0.51,14.0,9.0,0.14,0.03,2.0,17.0,0.105,0.05,0.1,0.38,0.5,1.2,2.6,3.9,5.0,9.0,3.5,4.7,1.2,4.7,0.3,1.7,0.124985408600471
9.2,8.2,9.4,6.8,12.8,20.8,0.0,0.51,14.0,25.0,0.175,0.08,2.0,19.0,0.105,0.06,0.1,0.25,0.9,3.2,4.2,3.7,11.0,19.0,1.9,2.6,1.8,5.0,0.33,1.3,0.124913094134892
6.8,8.2,13.0,3.2,12.8,32.8,0.0,0.51,14.0,23.0,0.07,0.06,2.0,28.0,0.175,0.04,0.1,0.26,0.6,2.9,4.8,3.8,10.0,1.0,4.9,1.3,2.9,2.7,0.36,2.2,0.124862545654002
38.0,3.4,2.2,6.8,6.8,50.8,0.0,0.51,14.0,18.0,0.105,0.08,2.0,14.0,0.105,0.07,0.1,0.39,0.8,1.6,3.4,2.2,21.0,2.0,1.5,4.2,4.8,2.7,0.69,1.8,0.124732785387469
24.8,4.6,3.4,4.4,3.2,41.2,0.0,0.5,14.0,23.0,0.175,0.1,2.0,6.0,0.14,0.02,0.1,0.24,0.4,2.9,1.8,4.6,1.0,28.0,0.9,4.2,0.9,3.8,0.22,1.1,0.124728391482775
8.0,4.6,10.6,6.8,11.6,8.8,0.0,0.51,14.0,29.0,0.105,0.09,2.0,30.0,0.035,0.01,0.1,0.36,1.4,3.0,4.8,4.1,4.0,25.0,3.2,3.6,0.3,0.7,0.48,2.7,0.124691296710986
17.6,2.2,4.6,26.0,18.8,29.2,0.0,0.51,14.0,15.0,0.105,0.04,2.0,26.0,0.14,0.1,0.1,0.41,1.9,1.2,4.3,4.7,30.0,25.0,4.7,3.0,4.4,3.3,0.48,1.5,0.124605456008473
38.0,10.6,2.2,8.0,11.6,11.2,0.0,0.5,14.0,20.0,0.175,0.07,2.0,11.0,0.14,0.09,0.1,0.31,1.5,0.7,4.0,3.2,30.0,19.0,3.9,4.9,4.4,3.7,0.52,1.7,0.124480758118862
38.0,11.8,2.2,14.0,11.6,24.4,0.0,0.51,14.0,29.0,0.07,0.01,2.0,26.0,0.07,0.01,0.1,0.26,1.2,2.5,4.7,3.0,23.0,18.0,3.1,2.6,1.1,3.0,0.93,1.7,0.124420420256017
38.0,11.8,2.2,14.0,11.6,24.4,0.0,0.51,14.0,29.0,0.07,0.01,2.0,26.0,0.07,0.01,0.1,0.26,1.2,2.5,4.7,3.0,23.0,18.0,3.1,2.6,1.1,3.0,0.93,1.7,0.124420420256017
38.0,11.8,2.2,14.0,11.6,24.4,0.0,0.51,14.0,29.0,0.07,0.01,2.0,26.0,0.07,0.01,0.1,0.26,1.2,2.5,4.7,3.0,23.0,18.0,3.1,2.6,1.1,3.0,0.93,1.7,0.124420420256017
10.4,13.0,8.2,24.8,24.8,35.2,0.0,0.51,14.0,27.0,0.105,0.02,2.0,19.0,0.035,0.03,0.1,0.35,2.8,1.5,4.1,4.4,29.0,0.0,1.0,4.4,4.3,0.1,1.03,3.8,0.124417348159488
10.4,13.0,8.2,24.8,24.8,35.2,0.0,0.51,14.0,27.0,0.105,0.02,2.0,19.0,0.035,0.03,0.1,0.35,2.8,1.5,4.1,4.4,29.0,0.0,1.0,4.4,4.3,0.1,1.03,3.8,0.124417348159488
10.4,13.0,8.2,24.8,24.8,35.2,0.0,0.51,14.0,27.0,0.105,0.02,2.0,19.0,0.035,0.03,0.1,0.35,2.8,1.5,4.1,4.4,29.0,0.0,1.0,4.4,4.3,0.1,1.03,3.8,0.124417348159488
10.4,10.6,8.2,24.8,3.2,14.8,0.0,0.51,14.0,23.0,0.175,0.02,2.0,24.0,0.105,0.03,0.1,0.46,0.4,2.6,2.0,1.3,13.0,24.0,1.1,4.3,2.3,5.0,0.25,1.0,0.124144153716306
9.2,9.4,9.4,12.8,8.0,48.4,0.0,0.5,14.0,34.0,0.175,0.02,2.0,13.0,0.14,0.08,0.1,0.21,1.0,2.1,3.2,3.5,1.0,12.0,2.2,5.0,3.0,2.6,0.69,2.6,0.124135003863756
26.0,4.6,3.4,21.2,14.0,43.6,0.0,0.51,14.0,15.0,0.07,0.03,2.0,33.0,0.07,0.01,0.1,0.24,1.2,1.5,4.6,3.8,14.0,16.0,2.5,0.1,3.4,4.1,0.4,2.9,0.124132950947477
24.8,4.6,3.4,16.4,4.4,52.0,0.0,0.51,14.0,19.0,0.175,0.07,2.0,16.0,0.175,0.02,0.1,0.33,0.4,0.4,2.8,1.9,18.0,21.0,0.2,0.4,3.0,4.8,0.28,1.2,0.123898876150891
18.8,4.6,4.6,15.2,12.8,30.4,0.0,0.51,14.0,35.0,0.14,0.01,2.0,20.0,0.07,0.03,0.1,0.29,1.5,4.5,2.7,3.6,9.0,5.0,1.0,1.8,2.9,3.6,0.69,2.1,0.123809872297182
18.8,4.6,4.6,15.2,12.8,30.4,0.0,0.51,14.0,35.0,0.14,0.01,2.0,20.0,0.07,0.03,0.1,0.29,1.5,4.5,2.7,3.6,9.0,5.0,1.0,1.8,2.9,3.6,0.69,2.1,0.123809872297182
18.8,4.6,4.6,15.2,12.8,30.4,0.0,0.51,14.0,35.0,0.14,0.01,2.0,20.0,0.07,0.03,0.1,0.29,1.5,4.5,2.7,3.6,9.0,5.0,1.0,1.8,2.9,3.6,0.69,2.1,0.123809872297182
39.2,8.2,2.2,9.2,5.6,5.2,0.0,0.5,14.0,19.0,0.14,0.06,2.0,32.0,0.14,0.03,0.1,0.17,0.6,2.6,3.9,3.8,15.0,4.0,2.2,1.8,4.3,3.1,0.16,1.2,0.123743338867268
39.2,8.2,2.2,9.2,5.6,5.2,0.0,0.5,14.0,19.0,0.14,0.06,2.0,32.0,0.14,0.03,0.1,0.17,0.6,2.6,3.9,3.8,15.0,4.0,2.2,1.8,4.3,3.1,0.16,1.2,0.123743338867268
39.2,8.2,2.2,9.2,5.6,5.2,0.0,0.5,14.0,19.0,0.14,0.06,2.0,32.0,0.14,0.03,0.1,0.17,0.6,2.6,3.9,3.8,15.0,4.0,2.2,1.8,4.3,3.1,0.16,1.2,0.123743338867268
9.2,13.0,9.4,24.8,5.6,53.2,0.0,0.51,14.0,5.0,0.14,0.01,2.0,35.0,0.175,0.05,0.1,0.28,0.5,0.2,2.3,2.5,19.0,13.0,0.3,0.3,0.9,0.7,0.12,1.3,0.123702222150836
11.6,7.0,7.0,26.0,12.8,49.6,0.0,0.51,14.0,33.0,0.14,0.1,2.0,19.0,0.14,0.03,0.1,0.22,1.7,1.3,4.8,4.1,12.0,11.0,0.8,3.8,4.3,2.5,0.29,1.3,0.123676320214651
18.8,9.4,4.6,8.0,24.8,48.4,0.0,0.51,14.0,13.0,0.105,0.01,2.0,15.0,0.105,0.02,0.1,0.27,1.9,1.0,4.7,3.6,8.0,30.0,4.9,3.4,0.7,4.3,0.57,2.9,0.123639798677416
38.0,7.0,2.2,8.0,21.2,17.2,0.0,0.5,14.0,20.0,0.14,0.06,2.0,31.0,0.07,0.02,0.1,0.26,0.9,2.1,3.9,4.9,9.0,6.0,1.0,2.8,0.2,2.0,0.74,3.8,0.123600468032464
39.2,2.2,2.2,4.4,16.4,19.6,0.0,0.51,14.0,14.0,0.175,0.08,2.0,22.0,0.175,0.06,0.1,0.43,2.2,1.3,5.0,3.8,5.0,18.0,1.7,0.7,1.2,1.0,0.14,3.1,0.122708189644378
18.8,9.4,4.6,26.0,26.0,38.8,0.0,0.51,14.0,32.0,0.14,0.02,2.0,26.0,0.105,0.07,0.1,0.35,2.6,4.0,4.8,4.8,20.0,10.0,4.6,0.4,0.3,3.0,0.45,4.2,0.122452953227308
24.8,4.6,3.4,10.4,14.0,52.0,0.0,0.51,14.0,23.0,0.175,0.09,2.0,19.0,0.105,0.04,0.1,0.26,1.2,2.1,2.9,3.1,20.0,14.0,4.5,1.4,2.1,4.3,0.16,1.4,0.122371043181694
36.8,5.8,2.2,22.4,24.8,47.2,0.0,0.5,14.0,9.0,0.14,0.09,2.0,25.0,0.105,0.03,0.1,0.17,1.6,0.9,4.1,4.8,15.0,3.0,0.5,1.4,2.4,3.0,0.44,3.5,0.122234399569514
18.8,13.0,4.6,9.2,23.6,19.6,0.0,0.5,14.0,33.0,0.175,0.03,2.0,14.0,0.035,0.02,0.1,0.25,1.8,2.8,5.0,3.3,30.0,18.0,0.6,1.2,4.4,4.7,0.62,3.2,0.122095103498509
40.4,4.6,2.2,6.8,15.2,43.6,0.0,0.51,14.0,15.0,0.175,0.08,2.0,30.0,0.14,0.09,0.1,0.39,0.6,2.0,5.0,2.8,16.0,5.0,4.4,2.2,4.6,3.1,0.36,2.5,0.122064463263144
9.2,7.0,9.4,14.0,23.6,36.4,0.0,0.51,14.0,32.0,0.175,0.04,2.0,17.0,0.14,0.04,0.1,0.11,2.8,2.1,4.1,4.3,2.0,9.0,0.6,5.0,2.9,1.0,0.29,3.2,0.121947934392819
15.2,4.6,5.8,17.6,21.2,25.6,0.0,0.51,14.0,34.0,0.105,0.01,2.0,23.0,0.14,0.04,0.1,0.34,2.9,3.1,4.0,4.4,30.0,10.0,0.4,2.5,2.0,4.0,0.12,3.5,0.121789959392031
9.2,4.6,9.4,14.0,6.8,35.2,0.0,0.51,14.0,27.0,0.175,0.05,2.0,31.0,0.14,0.03,0.1,0.28,0.5,0.4,3.0,2.4,3.0,1.0,2.8,3.3,2.4,0.2,0.22,2.3,0.121646753352034
9.2,4.6,9.4,14.0,6.8,35.2,0.0,0.51,14.0,27.0,0.175,0.05,2.0,31.0,0.14,0.03,0.1,0.28,0.5,0.4,3.0,2.4,3.0,1.0,2.8,3.3,2.4,0.2,0.22,2.3,0.121646753352034
9.2,4.6,9.4,14.0,6.8,35.2,0.0,0.51,14.0,27.0,0.175,0.05,2.0,31.0,0.14,0.03,0.1,0.28,0.5,0.4,3.0,2.4,3.0,1.0,2.8,3.3,2.4,0.2,0.22,2.3,0.121646753352034
15.2,7.0,5.8,5.6,15.2,13.6,0.0,0.51,14.0,19.0,0.07,0.03,2.0,31.0,0.105,0.07,0.1,0.33,1.3,2.0,5.0,4.3,30.0,21.0,3.3,3.0,4.2,1.3,0.84,2.5,0.121567376904998
15.2,10.6,5.8,22.4,9.2,12.4,0.0,0.51,14.0,23.0,0.14,0.02,2.0,6.0,0.105,0.01,0.1,0.15,0.8,0.5,1.6,1.9,5.0,11.0,0.4,1.9,2.9,1.0,0.45,1.4,0.121543688910258
10.4,1.0,8.2,3.2,16.4,17.2,0.0,0.51,14.0,29.0,0.105,0.1,2.0,17.0,0.105,0.09,0.1,0.16,1.1,2.3,4.2,3.6,9.0,28.0,2.3,4.6,3.4,1.7,0.55,2.1,0.121336795933858
39.2,9.4,2.2,11.6,9.2,13.6,0.0,0.51,14.0,26.0,0.175,0.01,2.0,14.0,0.105,0.09,0.1,0.24,1.1,3.1,3.4,3.6,22.0,13.0,4.6,0.3,4.2,3.7,0.85,3.0,0.121315607172782
39.2,9.4,2.2,11.6,9.2,13.6,0.0,0.51,14.0,26.0,0.175,0.01,2.0,14.0,0.105,0.09,0.1,0.24,1.1,3.1,3.4,3.6,22.0,13.0,4.6,0.3,4.2,3.7,0.85,3.0,0.121315607172782
39.2,9.4,2.2,11.6,9.2,13.6,0.0,0.51,14.0,26.0,0.175,0.01,2.0,14.0,0.105,0.09,0.1,0.24,1.1,3.1,3.4,3.6,22.0,13.0,4.6,0.3,4.2,3.7,0.85,3.0,0.121315607172782
15.2,13.0,5.8,14.0,9.2,4.0,0.0,0.51,14.0,27.0,0.175,0.09,2.0,12.0,0.105,0.03,0.1,0.47,0.9,2.3,4.2,4.0,22.0,13.0,2.2,1.3,2.1,0.6,0.48,1.9,0.121301388576998
10.4,13.0,8.2,14.0,12.8,38.8,0.0,0.5,14.0,12.0,0.175,0.06,2.0,26.0,0.105,0.05,0.1,0.13,1.5,1.3,2.9,4.7,22.0,7.0,2.6,4.0,4.6,0.3,0.87,1.4,0.121149182585722
39.2,2.2,2.2,5.6,10.4,50.8,0.0,0.51,14.0,28.0,0.105,0.08,2.0,13.0,0.14,0.09,0.1,0.31,1.2,2.5,3.4,2.4,18.0,15.0,0.5,4.2,1.1,4.4,0.16,1.7,0.121124529318095
9.2,1.0,9.4,6.8,20.0,29.2,0.0,0.5,14.0,31.0,0.07,0.05,2.0,10.0,0.07,0.07,0.1,0.25,2.1,2.5,4.3,3.9,15.0,22.0,0.7,4.7,3.4,3.8,0.6,2.5,0.121103660023432
24.8,8.2,3.4,24.8,18.8,11.2,0.0,0.5,14.0,13.0,0.175,0.02,2.0,31.0,0.07,0.06,0.1,0.41,1.3,0.9,4.4,3.8,27.0,10.0,0.6,1.3,3.2,4.2,0.35,3.1,0.12090414723213
17.6,1.0,4.6,10.4,9.2,41.2,0.0,0.5,14.0,30.0,0.175,0.09,2.0,27.0,0.105,0.07,0.1,0.27,0.7,1.4,4.1,4.7,21.0,14.0,1.8,2.6,1.8,0.4,0.67,1.4,0.120891596103736
20.0,9.4,4.6,14.0,24.8,25.6,0.0,0.5,14.0,19.0,0.14,0.02,2.0,15.0,0.14,0.08,0.1,0.28,2.2,1.8,4.9,4.9,18.0,19.0,1.9,0.2,0.1,2.2,0.79,3.2,0.120650697213045
20.0,9.4,4.6,14.0,24.8,25.6,0.0,0.5,14.0,19.0,0.14,0.02,2.0,15.0,0.14,0.08,0.1,0.28,2.2,1.8,4.9,4.9,18.0,19.0,1.9,0.2,0.1,2.2,0.79,3.2,0.120650697213045
20.0,9.4,4.6,14.0,24.8,25.6,0.0,0.5,14.0,19.0,0.14,0.02,2.0,15.0,0.14,0.08,0.1,0.28,2.2,1.8,4.9,4.9,18.0,19.0,1.9,0.2,0.1,2.2,0.79,3.2,0.120650697213045
26.0,3.4,3.4,10.4,9.2,12.4,0.0,0.5,14.0,16.0,0.175,0.04,2.0,24.0,0.175,0.06,0.1,0.49,0.9,2.0,3.9,4.1,15.0,6.0,4.5,1.4,2.0,1.9,0.16,3.7,0.120452176498341
12.8,9.4,7.0,4.4,17.6,6.4,0.0,0.5,14.0,34.0,0.14,0.02,2.0,23.0,0.175,0.09,0.1,0.18,2.0,2.1,4.7,4.3,29.0,18.0,2.4,1.5,4.4,1.9,0.5,4.0,0.120292901806937
20.0,8.2,4.6,20.0,17.6,8.8,0.0,0.5,14.0,34.0,0.175,0.1,2.0,8.0,0.14,0.02,0.1,0.21,2.0,2.8,4.0,3.7,18.0,10.0,2.2,1.9,2.1,2.0,0.22,3.4,0.120055072492402
40.4,11.8,2.2,11.6,24.8,24.4,0.0,0.5,14.0,25.0,0.175,0.1,2.0,17.0,0.175,0.05,0.1,0.48,3.1,0.9,4.8,4.6,15.0,27.0,1.3,4.4,4.8,3.5,0.68,3.8,0.119960324002471
9.2,5.8,9.4,14.0,10.4,5.2,0.0,0.51,14.0,22.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.13,1.1,1.4,4.5,4.7,25.0,13.0,0.1,0.6,1.9,1.0,0.48,2.8,0.11981770513101
39.2,13.0,2.2,5.6,16.4,52.0,0.0,0.5,14.0,34.0,0.175,0.05,2.0,28.0,0.14,0.05,0.1,0.22,1.8,1.8,3.8,4.8,18.0,3.0,0.7,2.1,2.4,4.5,0.48,2.2,0.119313675712303
15.2,8.2,5.8,14.0,26.0,19.6,0.0,0.5,14.0,33.0,0.035,0.03,2.0,25.0,0.105,0.1,0.1,0.47,2.4,1.8,4.9,4.1,29.0,19.0,4.6,1.5,4.6,3.6,1.24,3.2,0.119186948648663
26.0,10.6,3.4,9.2,17.6,53.2,0.0,0.5,14.0,30.0,0.07,0.05,2.0,30.0,0.07,0.02,0.1,0.1,2.1,1.9,3.9,5.0,29.0,16.0,2.6,2.3,1.9,2.6,1.38,1.8,0.119168978429518
40.4,5.8,2.2,4.4,17.6,28.0,0.0,0.5,14.0,35.0,0.14,0.06,2.0,14.0,0.105,0.07,0.1,0.46,1.7,1.8,3.9,3.7,1.0,10.0,4.7,1.0,0.7,2.4,0.7,2.7,0.118865785387235
41.6,8.2,2.2,5.6,3.2,53.2,0.0,0.5,14.0,27.0,0.175,0.03,2.0,24.0,0.035,0.03,0.1,0.43,0.4,0.9,1.3,3.4,28.0,19.0,3.8,0.6,4.2,4.9,0.26,1.2,0.118530123966397
10.4,4.6,8.2,10.4,23.6,36.4,0.0,0.5,14.0,21.0,0.105,0.07,2.0,9.0,0.14,0.08,0.1,0.37,1.6,2.6,4.4,4.1,16.0,25.0,4.9,3.7,0.3,5.0,1.39,4.0,0.118409210867945
26.0,13.0,3.4,11.6,18.8,22.0,0.0,0.51,14.0,31.0,0.14,0.06,2.0,23.0,0.105,0.08,0.1,0.44,1.2,3.4,5.0,2.9,29.0,14.0,1.4,2.7,2.1,2.5,0.43,2.8,0.118168942289796
15.2,8.2,11.8,12.8,12.8,12.4,0.0,0.51,14.0,31.0,0.105,0.09,2.0,26.0,0.175,0.05,0.1,0.41,1.4,1.8,4.6,4.1,16.0,4.0,1.7,3.8,4.6,1.6,0.21,3.5,0.118168150014909
15.2,8.2,5.8,4.4,11.6,17.2,0.0,0.5,14.0,24.0,0.105,0.03,2.0,22.0,0.105,0.08,0.1,0.38,0.9,2.1,3.4,3.4,9.0,9.0,4.9,1.5,4.5,5.0,0.65,2.5,0.118159675154193
42.8,4.6,2.2,22.4,4.4,43.6,0.0,0.5,14.0,35.0,0.175,0.03,2.0,12.0,0.035,0.01,0.1,0.03,0.3,4.2,2.2,4.9,25.0,25.0,2.2,2.4,1.1,2.6,0.23,1.7,0.118099441355975
18.8,5.8,4.6,8.0,8.0,47.2,0.0,0.51,14.0,6.0,0.175,0.1,2.0,22.0,0.175,0.08,0.1,0.21,0.8,0.2,3.7,5.0,28.0,29.0,4.5,3.2,0.6,2.2,0.13,1.7,0.118081603462032
27.2,9.4,3.4,11.6,23.6,43.6,0.0,0.5,14.0,35.0,0.14,0.03,2.0,17.0,0.105,0.03,0.1,0.24,1.0,1.7,5.0,4.9,21.0,16.0,3.3,3.5,1.4,3.5,0.66,4.4,0.118030559548238
23.6,4.6,3.4,21.2,14.0,30.4,0.0,0.51,14.0,34.0,0.14,0.02,2.0,30.0,0.14,0.08,0.1,0.25,0.8,1.0,3.7,3.3,11.0,2.0,2.4,3.5,3.8,3.4,0.28,2.4,0.117673718126986
11.6,7.0,8.2,11.6,6.8,46.0,0.0,0.51,14.0,6.0,0.105,0.07,2.0,15.0,0.105,0.03,0.1,0.17,0.7,0.6,2.4,4.0,17.0,20.0,4.6,0.2,4.7,0.6,0.24,1.6,0.117586634643625
9.2,3.4,9.4,22.4,6.8,19.6,0.0,0.5,14.0,28.0,0.175,0.02,2.0,13.0,0.07,0.06,0.1,0.47,0.6,3.1,2.5,4.0,2.0,13.0,3.9,3.5,3.8,5.0,0.46,1.0,0.117112067271654
9.2,3.4,9.4,22.4,6.8,19.6,0.0,0.5,14.0,28.0,0.175,0.02,2.0,13.0,0.07,0.06,0.1,0.47,0.6,3.1,2.5,4.0,2.0,13.0,3.9,3.5,3.8,5.0,0.46,1.0,0.117112067271654
9.2,3.4,9.4,22.4,6.8,19.6,0.0,0.5,14.0,28.0,0.175,0.02,2.0,13.0,0.07,0.06,0.1,0.47,0.6,3.1,2.5,4.0,2.0,13.0,3.9,3.5,3.8,5.0,0.46,1.0,0.117112067271654
8.0,9.4,11.8,16.4,4.4,46.0,0.0,0.51,14.0,35.0,0.07,0.05,2.0,6.0,0.175,0.1,0.1,0.31,0.5,1.3,2.8,2.7,16.0,17.0,2.8,3.5,4.8,1.2,0.32,1.0,0.116877408470399
10.4,5.8,9.4,5.6,9.2,18.4,0.0,0.51,14.0,35.0,0.035,0.03,2.0,33.0,0.07,0.06,0.1,0.43,0.6,2.1,4.8,1.7,23.0,19.0,1.0,1.1,4.1,1.2,0.19,1.5,0.116867358932399
40.4,9.4,2.2,6.8,8.0,22.0,0.0,0.5,14.0,9.0,0.175,0.02,2.0,20.0,0.07,0.07,0.1,0.4,0.6,1.1,1.7,4.7,10.0,7.0,3.8,3.3,1.4,2.4,0.26,1.5,0.116799040836406
20.0,8.2,4.6,16.4,15.2,43.6,0.0,0.51,14.0,28.0,0.14,0.09,2.0,13.0,0.14,0.08,0.1,0.44,1.9,1.5,2.9,4.5,10.0,3.0,0.4,3.7,2.2,1.5,0.14,2.7,0.116140049188052
41.6,13.0,2.2,20.0,18.8,12.4,0.0,0.51,14.0,27.0,0.07,0.04,2.0,7.0,0.105,0.06,0.1,0.25,2.1,1.3,3.7,3.0,21.0,20.0,4.1,2.7,2.8,3.5,0.78,2.8,0.116080539797964
24.8,4.6,3.4,24.8,22.4,32.8,0.0,0.5,14.0,34.0,0.07,0.05,2.0,28.0,0.105,0.06,0.1,0.4,1.6,1.6,4.6,3.9,10.0,2.0,2.7,4.2,3.5,1.5,0.47,2.4,0.115785562436588
16.4,7.0,5.8,20.0,3.2,22.0,0.0,0.51,14.0,25.0,0.07,0.03,2.0,34.0,0.175,0.05,0.1,0.48,0.3,2.8,1.8,1.4,30.0,17.0,1.1,3.1,1.7,4.1,0.17,1.2,0.115521909760251
16.4,7.0,5.8,20.0,3.2,22.0,0.0,0.51,14.0,25.0,0.07,0.03,2.0,34.0,0.175,0.05,0.1,0.48,0.3,2.8,1.8,1.4,30.0,17.0,1.1,3.1,1.7,4.1,0.17,1.2,0.115521909760251
16.4,7.0,5.8,20.0,3.2,22.0,0.0,0.51,14.0,25.0,0.07,0.03,2.0,34.0,0.175,0.05,0.1,0.48,0.3,2.8,1.8,1.4,30.0,17.0,1.1,3.1,1.7,4.1,0.17,1.2,0.115521909760251
12.8,3.4,7.0,12.8,24.8,44.8,0.0,0.5,14.0,33.0,0.175,0.03,2.0,10.0,0.14,0.06,0.1,0.45,2.6,0.8,4.1,3.9,27.0,5.0,2.9,3.0,3.9,1.8,0.46,3.6,0.115408957424241
20.0,8.2,4.6,15.2,11.6,5.2,0.0,0.51,14.0,28.0,0.175,0.1,2.0,7.0,0.14,0.04,0.1,0.32,0.6,0.4,3.8,4.9,28.0,14.0,4.0,3.1,2.8,2.1,0.14,1.2,0.115223196662902
10.4,1.0,8.2,15.2,12.8,12.4,0.0,0.5,14.0,35.0,0.175,0.1,2.0,12.0,0.175,0.01,0.1,0.45,1.2,0.6,4.0,4.2,12.0,17.0,3.6,0.6,4.0,2.7,0.46,2.7,0.115191645557555
10.4,1.0,8.2,15.2,12.8,12.4,0.0,0.5,14.0,35.0,0.175,0.1,2.0,12.0,0.175,0.01,0.1,0.45,1.2,0.6,4.0,4.2,12.0,17.0,3.6,0.6,4.0,2.7,0.46,2.7,0.115191645557555
10.4,1.0,8.2,15.2,12.8,12.4,0.0,0.5,14.0,35.0,0.175,0.1,2.0,12.0,0.175,0.01,0.1,0.45,1.2,0.6,4.0,4.2,12.0,17.0,3.6,0.6,4.0,2.7,0.46,2.7,0.115191645557555
8.0,2.2,11.8,20.0,5.6,10.0,0.0,0.51,14.0,29.0,0.105,0.06,2.0,14.0,0.105,0.08,0.1,0.37,0.7,3.2,1.8,1.4,12.0,1.0,2.7,1.7,3.5,3.4,0.36,1.1,0.11516114411864
15.2,2.2,5.8,12.8,9.2,6.4,0.0,0.5,14.0,17.0,0.07,0.05,2.0,23.0,0.175,0.01,0.1,0.26,0.7,0.5,4.1,3.1,1.0,16.0,0.6,3.9,3.3,4.9,0.19,2.5,0.115071408626462
