w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_top_left
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.244351853664609
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.244351853664609
20.0,9.4,2.2,24.8,15.2,23.2,0.0,0.5,14.0,34.0,0.175,0.02,2.0,10.0,0.035,0.02,0.1,0.03,1.9,4.4,5.0,3.3,7.0,11.0,0.6,3.5,3.7,3.9,1.05,2.5,0.244351853664609
9.2,4.6,4.6,10.4,18.8,43.6,0.0,0.5,14.0,7.0,0.105,0.04,2.0,18.0,0.14,0.1,0.1,0.29,1.9,0.9,4.0,3.8,0.0,12.0,1.6,1.9,2.4,0.3,0.46,2.2,0.24420285141069
9.2,11.8,4.6,23.6,16.4,32.8,0.0,0.5,14.0,18.0,0.175,0.01,2.0,28.0,0.105,0.05,0.1,0.43,1.0,2.0,4.4,4.4,7.0,13.0,2.7,4.0,3.8,4.3,0.55,1.4,0.243996704408052
42.8,4.6,1.0,8.0,5.6,4.0,0.0,0.5,14.0,23.0,0.07,0.01,2.0,12.0,0.175,0.05,0.1,0.45,0.5,2.4,2.8,5.0,10.0,11.0,4.3,1.3,0.2,4.6,0.27,1.6,0.243017137249714
9.2,3.4,4.6,20.0,15.2,4.0,0.0,0.51,14.0,32.0,0.175,0.01,2.0,35.0,0.175,0.08,0.1,0.46,0.8,2.9,3.0,3.0,30.0,18.0,2.2,4.2,4.2,3.0,0.7,2.1,0.241838577716303
20.0,3.4,2.2,15.2,11.6,47.2,0.0,0.5,14.0,27.0,0.175,0.03,2.0,17.0,0.07,0.05,0.1,0.06,1.3,1.2,3.2,3.8,14.0,12.0,3.0,4.3,1.7,3.0,0.57,1.7,0.241083237027363
9.2,8.2,4.6,11.6,12.8,47.2,0.0,0.5,14.0,23.0,0.105,0.04,2.0,12.0,0.14,0.05,0.1,0.5,0.6,0.9,4.8,3.4,9.0,22.0,3.3,1.3,0.1,0.9,0.36,1.7,0.239007371971597
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.238368182319357
20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,0.238368182319357
